FromUtc;ToUtc;HourAhead;FromLocal;ToLocal;Power (kW)
06/06/2014 09:00;06/06/2014 10:00;0;06/06/2014 11:00;06/06/2014 12:00;105547.699
06/06/2014 10:00;06/06/2014 11:00;1;06/06/2014 12:00;06/06/2014 13:00;106225.579
06/06/2014 11:00;06/06/2014 12:00;2;06/06/2014 13:00;06/06/2014 14:00;84916.339
06/06/2014 12:00;06/06/2014 13:00;3;06/06/2014 14:00;06/06/2014 15:00;70983.847
06/06/2014 13:00;06/06/2014 14:00;4;06/06/2014 15:00;06/06/2014 16:00;62461.894
06/06/2014 14:00;06/06/2014 15:00;5;06/06/2014 16:00;06/06/2014 17:00;46832.462
06/06/2014 15:00;06/06/2014 16:00;6;06/06/2014 17:00;06/06/2014 18:00;32355.804
06/06/2014 16:00;06/06/2014 17:00;7;06/06/2014 18:00;06/06/2014 19:00;19064.017
06/06/2014 17:00;06/06/2014 18:00;8;06/06/2014 19:00;06/06/2014 20:00;14231.630
06/06/2014 18:00;06/06/2014 19:00;9;06/06/2014 20:00;06/06/2014 21:00;14277.843
06/06/2014 19:00;06/06/2014 20:00;10;06/06/2014 21:00;06/06/2014 22:00;12210.555
06/06/2014 20:00;06/06/2014 21:00;11;06/06/2014 22:00;06/06/2014 23:00;11920.453
06/06/2014 21:00;06/06/2014 22:00;12;06/06/2014 23:00;07/06/2014 00:00;11682.976
06/06/2014 22:00;06/06/2014 23:00;13;07/06/2014 00:00;07/06/2014 01:00;11468.346
06/06/2014 23:00;07/06/2014 00:00;14;07/06/2014 01:00;07/06/2014 02:00;10792.159
07/06/2014 00:00;07/06/2014 01:00;15;07/06/2014 02:00;07/06/2014 03:00;7580.165
07/06/2014 01:00;07/06/2014 02:00;16;07/06/2014 03:00;07/06/2014 04:00;6690.697
07/06/2014 02:00;07/06/2014 03:00;17;07/06/2014 04:00;07/06/2014 05:00;6584.335
07/06/2014 03:00;07/06/2014 04:00;18;07/06/2014 05:00;07/06/2014 06:00;6695.478
07/06/2014 04:00;07/06/2014 05:00;19;07/06/2014 06:00;07/06/2014 07:00;6848.429
07/06/2014 05:00;07/06/2014 06:00;20;07/06/2014 07:00;07/06/2014 08:00;7090.153
07/06/2014 06:00;07/06/2014 07:00;21;07/06/2014 08:00;07/06/2014 09:00;7134.423
07/06/2014 07:00;07/06/2014 08:00;22;07/06/2014 09:00;07/06/2014 10:00;6658.708
07/06/2014 08:00;07/06/2014 09:00;23;07/06/2014 10:00;07/06/2014 11:00;6373.797
07/06/2014 09:00;07/06/2014 10:00;24;07/06/2014 11:00;07/06/2014 12:00;5945.573
07/06/2014 10:00;07/06/2014 11:00;25;07/06/2014 12:00;07/06/2014 13:00;5973.711
07/06/2014 11:00;07/06/2014 12:00;26;07/06/2014 13:00;07/06/2014 14:00;6158.276
07/06/2014 12:00;07/06/2014 13:00;27;07/06/2014 14:00;07/06/2014 15:00;6235.474
07/06/2014 13:00;07/06/2014 14:00;28;07/06/2014 15:00;07/06/2014 16:00;6484.253
07/06/2014 14:00;07/06/2014 15:00;29;07/06/2014 16:00;07/06/2014 17:00;6770.198
07/06/2014 15:00;07/06/2014 16:00;30;07/06/2014 17:00;07/06/2014 18:00;7015.180
07/06/2014 16:00;07/06/2014 17:00;31;07/06/2014 18:00;07/06/2014 19:00;7648.538
07/06/2014 17:00;07/06/2014 18:00;32;07/06/2014 19:00;07/06/2014 20:00;9073.477
07/06/2014 18:00;07/06/2014 19:00;33;07/06/2014 20:00;07/06/2014 21:00;10249.419
07/06/2014 19:00;07/06/2014 20:00;34;07/06/2014 21:00;07/06/2014 22:00;9880.027
07/06/2014 20:00;07/06/2014 21:00;35;07/06/2014 22:00;07/06/2014 23:00;12309.529
07/06/2014 21:00;07/06/2014 22:00;36;07/06/2014 23:00;08/06/2014 00:00;13797.426
07/06/2014 22:00;07/06/2014 23:00;37;08/06/2014 00:00;08/06/2014 01:00;16318.225
07/06/2014 23:00;08/06/2014 00:00;38;08/06/2014 01:00;08/06/2014 02:00;19703.118
08/06/2014 00:00;08/06/2014 01:00;39;08/06/2014 02:00;08/06/2014 03:00;29783.260
08/06/2014 01:00;08/06/2014 02:00;40;08/06/2014 03:00;08/06/2014 04:00;40152.719
08/06/2014 02:00;08/06/2014 03:00;41;08/06/2014 04:00;08/06/2014 05:00;43384.319
08/06/2014 03:00;08/06/2014 04:00;42;08/06/2014 05:00;08/06/2014 06:00;48541.409
08/06/2014 04:00;08/06/2014 05:00;43;08/06/2014 06:00;08/06/2014 07:00;52158.451
08/06/2014 05:00;08/06/2014 06:00;44;08/06/2014 07:00;08/06/2014 08:00;47265.986
08/06/2014 06:00;08/06/2014 07:00;45;08/06/2014 08:00;08/06/2014 09:00;38802.230
08/06/2014 07:00;08/06/2014 08:00;46;08/06/2014 09:00;08/06/2014 10:00;32097.645
08/06/2014 08:00;08/06/2014 09:00;47;08/06/2014 10:00;08/06/2014 11:00;29387.771
08/06/2014 09:00;08/06/2014 10:00;48;08/06/2014 11:00;08/06/2014 12:00;29871.125
08/06/2014 10:00;08/06/2014 11:00;49;08/06/2014 12:00;08/06/2014 13:00;33210.148
