FromUtc;ToUtc;HourAhead;FromLocal;ToLocal;Power (kW)
05/06/2014 09:00;05/06/2014 10:00;0;05/06/2014 11:00;05/06/2014 12:00;32252.448
05/06/2014 10:00;05/06/2014 11:00;1;05/06/2014 12:00;05/06/2014 13:00;32794.665
05/06/2014 11:00;05/06/2014 12:00;2;05/06/2014 13:00;05/06/2014 14:00;70748.906
05/06/2014 12:00;05/06/2014 13:00;3;05/06/2014 14:00;05/06/2014 15:00;93377.901
05/06/2014 13:00;05/06/2014 14:00;4;05/06/2014 15:00;05/06/2014 16:00;118421.566
05/06/2014 14:00;05/06/2014 15:00;5;05/06/2014 16:00;05/06/2014 17:00;70330.900
05/06/2014 15:00;05/06/2014 16:00;6;05/06/2014 17:00;05/06/2014 18:00;51787.921
05/06/2014 16:00;05/06/2014 17:00;7;05/06/2014 18:00;05/06/2014 19:00;39020.621
05/06/2014 17:00;05/06/2014 18:00;8;05/06/2014 19:00;05/06/2014 20:00;47364.877
05/06/2014 18:00;05/06/2014 19:00;9;05/06/2014 20:00;05/06/2014 21:00;58779.086
05/06/2014 19:00;05/06/2014 20:00;10;05/06/2014 21:00;05/06/2014 22:00;95354.039
05/06/2014 20:00;05/06/2014 21:00;11;05/06/2014 22:00;05/06/2014 23:00;128686.796
05/06/2014 21:00;05/06/2014 22:00;12;05/06/2014 23:00;06/06/2014 00:00;132491.380
05/06/2014 22:00;05/06/2014 23:00;13;06/06/2014 00:00;06/06/2014 01:00;130624.209
05/06/2014 23:00;06/06/2014 00:00;14;06/06/2014 01:00;06/06/2014 02:00;141375.606
06/06/2014 00:00;06/06/2014 01:00;15;06/06/2014 02:00;06/06/2014 03:00;157838.147
06/06/2014 01:00;06/06/2014 02:00;16;06/06/2014 03:00;06/06/2014 04:00;168050.549
06/06/2014 02:00;06/06/2014 03:00;17;06/06/2014 04:00;06/06/2014 05:00;170564.006
06/06/2014 03:00;06/06/2014 04:00;18;06/06/2014 05:00;06/06/2014 06:00;176516.546
06/06/2014 04:00;06/06/2014 05:00;19;06/06/2014 06:00;06/06/2014 07:00;182412.749
06/06/2014 05:00;06/06/2014 06:00;20;06/06/2014 07:00;06/06/2014 08:00;179229.410
06/06/2014 06:00;06/06/2014 07:00;21;06/06/2014 08:00;06/06/2014 09:00;174536.816
06/06/2014 07:00;06/06/2014 08:00;22;06/06/2014 09:00;06/06/2014 10:00;167926.304
06/06/2014 08:00;06/06/2014 09:00;23;06/06/2014 10:00;06/06/2014 11:00;145127.782
06/06/2014 09:00;06/06/2014 10:00;24;06/06/2014 11:00;06/06/2014 12:00;124364.885
06/06/2014 10:00;06/06/2014 11:00;25;06/06/2014 12:00;06/06/2014 13:00;108692.048
06/06/2014 11:00;06/06/2014 12:00;26;06/06/2014 13:00;06/06/2014 14:00;93918.249
06/06/2014 12:00;06/06/2014 13:00;27;06/06/2014 14:00;06/06/2014 15:00;76637.453
06/06/2014 13:00;06/06/2014 14:00;28;06/06/2014 15:00;06/06/2014 16:00;61902.040
06/06/2014 14:00;06/06/2014 15:00;29;06/06/2014 16:00;06/06/2014 17:00;41802.402
06/06/2014 15:00;06/06/2014 16:00;30;06/06/2014 17:00;06/06/2014 18:00;28287.618
06/06/2014 16:00;06/06/2014 17:00;31;06/06/2014 18:00;06/06/2014 19:00;17068.085
06/06/2014 17:00;06/06/2014 18:00;32;06/06/2014 19:00;06/06/2014 20:00;13142.780
06/06/2014 18:00;06/06/2014 19:00;33;06/06/2014 20:00;06/06/2014 21:00;12773.448
06/06/2014 19:00;06/06/2014 20:00;34;06/06/2014 21:00;06/06/2014 22:00;12330.530
06/06/2014 20:00;06/06/2014 21:00;35;06/06/2014 22:00;06/06/2014 23:00;11374.177
06/06/2014 21:00;06/06/2014 22:00;36;06/06/2014 23:00;07/06/2014 00:00;10949.144
06/06/2014 22:00;06/06/2014 23:00;37;07/06/2014 00:00;07/06/2014 01:00;10895.627
06/06/2014 23:00;07/06/2014 00:00;38;07/06/2014 01:00;07/06/2014 02:00;10126.161
07/06/2014 00:00;07/06/2014 01:00;39;07/06/2014 02:00;07/06/2014 03:00;7358.935
07/06/2014 01:00;07/06/2014 02:00;40;07/06/2014 03:00;07/06/2014 04:00;7260.301
07/06/2014 02:00;07/06/2014 03:00;41;07/06/2014 04:00;07/06/2014 05:00;7221.256
07/06/2014 03:00;07/06/2014 04:00;42;07/06/2014 05:00;07/06/2014 06:00;6563.148
07/06/2014 04:00;07/06/2014 05:00;43;07/06/2014 06:00;07/06/2014 07:00;6581.211
07/06/2014 05:00;07/06/2014 06:00;44;07/06/2014 07:00;07/06/2014 08:00;7284.941
07/06/2014 06:00;07/06/2014 07:00;45;07/06/2014 08:00;07/06/2014 09:00;8142.177
07/06/2014 07:00;07/06/2014 08:00;46;07/06/2014 09:00;07/06/2014 10:00;8292.353
07/06/2014 08:00;07/06/2014 09:00;47;07/06/2014 10:00;07/06/2014 11:00;6971.317
07/06/2014 09:00;07/06/2014 10:00;48;07/06/2014 11:00;07/06/2014 12:00;5732.162
07/06/2014 10:00;07/06/2014 11:00;49;07/06/2014 12:00;07/06/2014 13:00;5458.363
07/06/2014 11:00;07/06/2014 12:00;50;07/06/2014 13:00;07/06/2014 14:00;4807.932
07/06/2014 12:00;07/06/2014 13:00;51;07/06/2014 14:00;07/06/2014 15:00;4208.233
07/06/2014 13:00;07/06/2014 14:00;52;07/06/2014 15:00;07/06/2014 16:00;4311.171
07/06/2014 14:00;07/06/2014 15:00;53;07/06/2014 16:00;07/06/2014 17:00;6776.023
07/06/2014 15:00;07/06/2014 16:00;54;07/06/2014 17:00;07/06/2014 18:00;8122.401
07/06/2014 16:00;07/06/2014 17:00;55;07/06/2014 18:00;07/06/2014 19:00;7950.401
07/06/2014 17:00;07/06/2014 18:00;56;07/06/2014 19:00;07/06/2014 20:00;7869.656
07/06/2014 18:00;07/06/2014 19:00;57;07/06/2014 20:00;07/06/2014 21:00;9164.347
07/06/2014 19:00;07/06/2014 20:00;58;07/06/2014 21:00;07/06/2014 22:00;10447.929
07/06/2014 20:00;07/06/2014 21:00;59;07/06/2014 22:00;07/06/2014 23:00;9203.456
07/06/2014 21:00;07/06/2014 22:00;60;07/06/2014 23:00;08/06/2014 00:00;9758.236
07/06/2014 22:00;07/06/2014 23:00;61;08/06/2014 00:00;08/06/2014 01:00;8186.095
07/06/2014 23:00;08/06/2014 00:00;62;08/06/2014 01:00;08/06/2014 02:00;9547.231
08/06/2014 00:00;08/06/2014 01:00;63;08/06/2014 02:00;08/06/2014 03:00;11992.166
