FromUtc;ToUtc;HourAhead;FromLocal;ToLocal;Power (kW)
02/06/2014 09:00;02/06/2014 10:00;0;02/06/2014 11:00;02/06/2014 12:00;8854.446
02/06/2014 10:00;02/06/2014 11:00;1;02/06/2014 12:00;02/06/2014 13:00;8762.339
02/06/2014 11:00;02/06/2014 12:00;2;02/06/2014 13:00;02/06/2014 14:00;8825.013
02/06/2014 12:00;02/06/2014 13:00;3;02/06/2014 14:00;02/06/2014 15:00;8727.420
02/06/2014 13:00;02/06/2014 14:00;4;02/06/2014 15:00;02/06/2014 16:00;9191.978
02/06/2014 14:00;02/06/2014 15:00;5;02/06/2014 16:00;02/06/2014 17:00;9431.814
02/06/2014 15:00;02/06/2014 16:00;6;02/06/2014 17:00;02/06/2014 18:00;9416.542
02/06/2014 16:00;02/06/2014 17:00;7;02/06/2014 18:00;02/06/2014 19:00;9533.241
02/06/2014 17:00;02/06/2014 18:00;8;02/06/2014 19:00;02/06/2014 20:00;9633.354
02/06/2014 18:00;02/06/2014 19:00;9;02/06/2014 20:00;02/06/2014 21:00;9900.635
02/06/2014 19:00;02/06/2014 20:00;10;02/06/2014 21:00;02/06/2014 22:00;10184.951
02/06/2014 20:00;02/06/2014 21:00;11;02/06/2014 22:00;02/06/2014 23:00;10653.639
02/06/2014 21:00;02/06/2014 22:00;12;02/06/2014 23:00;03/06/2014 00:00;11137.779
02/06/2014 22:00;02/06/2014 23:00;13;03/06/2014 00:00;03/06/2014 01:00;11765.834
02/06/2014 23:00;03/06/2014 00:00;14;03/06/2014 01:00;03/06/2014 02:00;11969.562
03/06/2014 00:00;03/06/2014 01:00;15;03/06/2014 02:00;03/06/2014 03:00;10662.987
03/06/2014 01:00;03/06/2014 02:00;16;03/06/2014 03:00;03/06/2014 04:00;9696.318
03/06/2014 02:00;03/06/2014 03:00;17;03/06/2014 04:00;03/06/2014 05:00;8920.014
03/06/2014 03:00;03/06/2014 04:00;18;03/06/2014 05:00;03/06/2014 06:00;8333.406
03/06/2014 04:00;03/06/2014 05:00;19;03/06/2014 06:00;03/06/2014 07:00;7896.709
03/06/2014 05:00;03/06/2014 06:00;20;03/06/2014 07:00;03/06/2014 08:00;7631.825
03/06/2014 06:00;03/06/2014 07:00;21;03/06/2014 08:00;03/06/2014 09:00;6974.926
03/06/2014 07:00;03/06/2014 08:00;22;03/06/2014 09:00;03/06/2014 10:00;7258.790
03/06/2014 08:00;03/06/2014 09:00;23;03/06/2014 10:00;03/06/2014 11:00;8814.203
03/06/2014 09:00;03/06/2014 10:00;24;03/06/2014 11:00;03/06/2014 12:00;9595.882
03/06/2014 10:00;03/06/2014 11:00;25;03/06/2014 12:00;03/06/2014 13:00;11305.330
03/06/2014 11:00;03/06/2014 12:00;26;03/06/2014 13:00;03/06/2014 14:00;11727.967
03/06/2014 12:00;03/06/2014 13:00;27;03/06/2014 14:00;03/06/2014 15:00;10358.897
03/06/2014 13:00;03/06/2014 14:00;28;03/06/2014 15:00;03/06/2014 16:00;9300.631
03/06/2014 14:00;03/06/2014 15:00;29;03/06/2014 16:00;03/06/2014 17:00;8570.490
03/06/2014 15:00;03/06/2014 16:00;30;03/06/2014 17:00;03/06/2014 18:00;8048.028
03/06/2014 16:00;03/06/2014 17:00;31;03/06/2014 18:00;03/06/2014 19:00;9356.012
03/06/2014 17:00;03/06/2014 18:00;32;03/06/2014 19:00;03/06/2014 20:00;8224.310
03/06/2014 18:00;03/06/2014 19:00;33;03/06/2014 20:00;03/06/2014 21:00;8009.671
03/06/2014 19:00;03/06/2014 20:00;34;03/06/2014 21:00;03/06/2014 22:00;7617.916
03/06/2014 20:00;03/06/2014 21:00;35;03/06/2014 22:00;03/06/2014 23:00;7112.977
03/06/2014 21:00;03/06/2014 22:00;36;03/06/2014 23:00;04/06/2014 00:00;7165.983
03/06/2014 22:00;03/06/2014 23:00;37;04/06/2014 00:00;04/06/2014 01:00;7318.832
03/06/2014 23:00;04/06/2014 00:00;38;04/06/2014 01:00;04/06/2014 02:00;8427.722
