FromUtc;ToUtc;HourAhead;FromLocal;ToLocal;Power (kW)
21/06/2014 09:00;21/06/2014 10:00;0;21/06/2014 11:00;21/06/2014 12:00;207241.836
21/06/2014 10:00;21/06/2014 11:00;1;21/06/2014 12:00;21/06/2014 13:00;207241.836
21/06/2014 11:00;21/06/2014 12:00;2;21/06/2014 13:00;21/06/2014 14:00;208159.164
21/06/2014 12:00;21/06/2014 13:00;3;21/06/2014 14:00;21/06/2014 15:00;208805.793
21/06/2014 13:00;21/06/2014 14:00;4;21/06/2014 15:00;21/06/2014 16:00;209108.285
21/06/2014 14:00;21/06/2014 15:00;5;21/06/2014 16:00;21/06/2014 17:00;208835.740
21/06/2014 15:00;21/06/2014 16:00;6;21/06/2014 17:00;21/06/2014 18:00;208497.101
21/06/2014 16:00;21/06/2014 17:00;7;21/06/2014 18:00;21/06/2014 19:00;208213.069
21/06/2014 17:00;21/06/2014 18:00;8;21/06/2014 19:00;21/06/2014 20:00;206023.772
21/06/2014 18:00;21/06/2014 19:00;9;21/06/2014 20:00;21/06/2014 21:00;199263.658
21/06/2014 19:00;21/06/2014 20:00;10;21/06/2014 21:00;21/06/2014 22:00;196360.184
21/06/2014 20:00;21/06/2014 21:00;11;21/06/2014 22:00;21/06/2014 23:00;203265.403
21/06/2014 21:00;21/06/2014 22:00;12;21/06/2014 23:00;22/06/2014 00:00;204563.311
21/06/2014 22:00;21/06/2014 23:00;13;22/06/2014 00:00;22/06/2014 01:00;205091.048
21/06/2014 23:00;22/06/2014 00:00;14;22/06/2014 01:00;22/06/2014 02:00;202775.711
22/06/2014 00:00;22/06/2014 01:00;15;22/06/2014 02:00;22/06/2014 03:00;197688.532
22/06/2014 01:00;22/06/2014 02:00;16;22/06/2014 03:00;22/06/2014 04:00;187364.580
22/06/2014 02:00;22/06/2014 03:00;17;22/06/2014 04:00;22/06/2014 05:00;179717.260
22/06/2014 03:00;22/06/2014 04:00;18;22/06/2014 05:00;22/06/2014 06:00;179322.254
22/06/2014 04:00;22/06/2014 05:00;19;22/06/2014 06:00;22/06/2014 07:00;179146.507
22/06/2014 05:00;22/06/2014 06:00;20;22/06/2014 07:00;22/06/2014 08:00;184939.098
22/06/2014 06:00;22/06/2014 07:00;21;22/06/2014 08:00;22/06/2014 09:00;189540.989
22/06/2014 07:00;22/06/2014 08:00;22;22/06/2014 09:00;22/06/2014 10:00;192382.623
22/06/2014 08:00;22/06/2014 09:00;23;22/06/2014 10:00;22/06/2014 11:00;192216.550
22/06/2014 09:00;22/06/2014 10:00;24;22/06/2014 11:00;22/06/2014 12:00;192296.110
22/06/2014 10:00;22/06/2014 11:00;25;22/06/2014 12:00;22/06/2014 13:00;192406.994
22/06/2014 11:00;22/06/2014 12:00;26;22/06/2014 13:00;22/06/2014 14:00;189980.833
22/06/2014 12:00;22/06/2014 13:00;27;22/06/2014 14:00;22/06/2014 15:00;186778.123
22/06/2014 13:00;22/06/2014 14:00;28;22/06/2014 15:00;22/06/2014 16:00;185985.406
22/06/2014 14:00;22/06/2014 15:00;29;22/06/2014 16:00;22/06/2014 17:00;191785.132
22/06/2014 15:00;22/06/2014 16:00;30;22/06/2014 17:00;22/06/2014 18:00;197470.259
22/06/2014 16:00;22/06/2014 17:00;31;22/06/2014 18:00;22/06/2014 19:00;202795.061
22/06/2014 17:00;22/06/2014 18:00;32;22/06/2014 19:00;22/06/2014 20:00;203328.833
22/06/2014 18:00;22/06/2014 19:00;33;22/06/2014 20:00;22/06/2014 21:00;203641.723
22/06/2014 19:00;22/06/2014 20:00;34;22/06/2014 21:00;22/06/2014 22:00;202430.226
22/06/2014 20:00;22/06/2014 21:00;35;22/06/2014 22:00;22/06/2014 23:00;200619.803
22/06/2014 21:00;22/06/2014 22:00;36;22/06/2014 23:00;23/06/2014 00:00;199420.604
22/06/2014 22:00;22/06/2014 23:00;37;23/06/2014 00:00;23/06/2014 01:00;199664.954
22/06/2014 23:00;23/06/2014 00:00;38;23/06/2014 01:00;23/06/2014 02:00;198613.964
23/06/2014 00:00;23/06/2014 01:00;39;23/06/2014 02:00;23/06/2014 03:00;196018.937
23/06/2014 01:00;23/06/2014 02:00;40;23/06/2014 03:00;23/06/2014 04:00;195411.724
23/06/2014 02:00;23/06/2014 03:00;41;23/06/2014 04:00;23/06/2014 05:00;193239.600
23/06/2014 03:00;23/06/2014 04:00;42;23/06/2014 05:00;23/06/2014 06:00;192120.025
23/06/2014 04:00;23/06/2014 05:00;43;23/06/2014 06:00;23/06/2014 07:00;190449.981
23/06/2014 05:00;23/06/2014 06:00;44;23/06/2014 07:00;23/06/2014 08:00;185271.256
23/06/2014 06:00;23/06/2014 07:00;45;23/06/2014 08:00;23/06/2014 09:00;178746.384
23/06/2014 07:00;23/06/2014 08:00;46;23/06/2014 09:00;23/06/2014 10:00;173875.151
23/06/2014 08:00;23/06/2014 09:00;47;23/06/2014 10:00;23/06/2014 11:00;174224.193
23/06/2014 09:00;23/06/2014 10:00;48;23/06/2014 11:00;23/06/2014 12:00;177021.312
23/06/2014 10:00;23/06/2014 11:00;49;23/06/2014 12:00;23/06/2014 13:00;177233.778
23/06/2014 11:00;23/06/2014 12:00;50;23/06/2014 13:00;23/06/2014 14:00;173631.069
23/06/2014 12:00;23/06/2014 13:00;51;23/06/2014 14:00;23/06/2014 15:00;166151.025
23/06/2014 13:00;23/06/2014 14:00;52;23/06/2014 15:00;23/06/2014 16:00;159863.295
23/06/2014 14:00;23/06/2014 15:00;53;23/06/2014 16:00;23/06/2014 17:00;156475.304
23/06/2014 15:00;23/06/2014 16:00;54;23/06/2014 17:00;23/06/2014 18:00;156814.149
23/06/2014 16:00;23/06/2014 17:00;55;23/06/2014 18:00;23/06/2014 19:00;159733.052
23/06/2014 17:00;23/06/2014 18:00;56;23/06/2014 19:00;23/06/2014 20:00;165349.491
23/06/2014 18:00;23/06/2014 19:00;57;23/06/2014 20:00;23/06/2014 21:00;169355.479
23/06/2014 19:00;23/06/2014 20:00;58;23/06/2014 21:00;23/06/2014 22:00;166904.872
23/06/2014 20:00;23/06/2014 21:00;59;23/06/2014 22:00;23/06/2014 23:00;156740.332
23/06/2014 21:00;23/06/2014 22:00;60;23/06/2014 23:00;24/06/2014 00:00;137105.745
23/06/2014 22:00;23/06/2014 23:00;61;24/06/2014 00:00;24/06/2014 01:00;113245.048
23/06/2014 23:00;24/06/2014 00:00;62;24/06/2014 01:00;24/06/2014 02:00;90964.548
24/06/2014 00:00;24/06/2014 01:00;63;24/06/2014 02:00;24/06/2014 03:00;64113.541
24/06/2014 01:00;24/06/2014 02:00;64;24/06/2014 03:00;24/06/2014 04:00;51262.784
24/06/2014 02:00;24/06/2014 03:00;65;24/06/2014 04:00;24/06/2014 05:00;43522.734
24/06/2014 03:00;24/06/2014 04:00;66;24/06/2014 05:00;24/06/2014 06:00;39061.879
