FromUtc;ToUtc;HourAhead;FromLocal;ToLocal;Power (kW)
13/06/2014 09:00;13/06/2014 10:00;0;13/06/2014 11:00;13/06/2014 12:00;181398.424
13/06/2014 10:00;13/06/2014 11:00;1;13/06/2014 12:00;13/06/2014 13:00;181398.424
13/06/2014 11:00;13/06/2014 12:00;2;13/06/2014 13:00;13/06/2014 14:00;186064.862
13/06/2014 12:00;13/06/2014 13:00;3;13/06/2014 14:00;13/06/2014 15:00;191168.932
13/06/2014 13:00;13/06/2014 14:00;4;13/06/2014 15:00;13/06/2014 16:00;193978.102
13/06/2014 14:00;13/06/2014 15:00;5;13/06/2014 16:00;13/06/2014 17:00;190118.864
13/06/2014 15:00;13/06/2014 16:00;6;13/06/2014 17:00;13/06/2014 18:00;182733.342
13/06/2014 16:00;13/06/2014 17:00;7;13/06/2014 18:00;13/06/2014 19:00;168920.479
13/06/2014 17:00;13/06/2014 18:00;8;13/06/2014 19:00;13/06/2014 20:00;143493.795
13/06/2014 18:00;13/06/2014 19:00;9;13/06/2014 20:00;13/06/2014 21:00;119507.010
13/06/2014 19:00;13/06/2014 20:00;10;13/06/2014 21:00;13/06/2014 22:00;98430.629
13/06/2014 20:00;13/06/2014 21:00;11;13/06/2014 22:00;13/06/2014 23:00;69556.115
13/06/2014 21:00;13/06/2014 22:00;12;13/06/2014 23:00;14/06/2014 00:00;44822.069
13/06/2014 22:00;13/06/2014 23:00;13;14/06/2014 00:00;14/06/2014 01:00;35503.169
13/06/2014 23:00;14/06/2014 00:00;14;14/06/2014 01:00;14/06/2014 02:00;39093.053
14/06/2014 00:00;14/06/2014 01:00;15;14/06/2014 02:00;14/06/2014 03:00;33866.533
14/06/2014 01:00;14/06/2014 02:00;16;14/06/2014 03:00;14/06/2014 04:00;27164.131
14/06/2014 02:00;14/06/2014 03:00;17;14/06/2014 04:00;14/06/2014 05:00;29297.618
14/06/2014 03:00;14/06/2014 04:00;18;14/06/2014 05:00;14/06/2014 06:00;34732.523
14/06/2014 04:00;14/06/2014 05:00;19;14/06/2014 06:00;14/06/2014 07:00;33462.157
14/06/2014 05:00;14/06/2014 06:00;20;14/06/2014 07:00;14/06/2014 08:00;29637.189
14/06/2014 06:00;14/06/2014 07:00;21;14/06/2014 08:00;14/06/2014 09:00;28943.241
14/06/2014 07:00;14/06/2014 08:00;22;14/06/2014 09:00;14/06/2014 10:00;27605.575
14/06/2014 08:00;14/06/2014 09:00;23;14/06/2014 10:00;14/06/2014 11:00;20218.845
14/06/2014 09:00;14/06/2014 10:00;24;14/06/2014 11:00;14/06/2014 12:00;15116.315
14/06/2014 10:00;14/06/2014 11:00;25;14/06/2014 12:00;14/06/2014 13:00;10398.599
14/06/2014 11:00;14/06/2014 12:00;26;14/06/2014 13:00;14/06/2014 14:00;8611.336
14/06/2014 12:00;14/06/2014 13:00;27;14/06/2014 14:00;14/06/2014 15:00;6226.002
14/06/2014 13:00;14/06/2014 14:00;28;14/06/2014 15:00;14/06/2014 16:00;5861.710
14/06/2014 14:00;14/06/2014 15:00;29;14/06/2014 16:00;14/06/2014 17:00;11310.062
14/06/2014 15:00;14/06/2014 16:00;30;14/06/2014 17:00;14/06/2014 18:00;15257.706
14/06/2014 16:00;14/06/2014 17:00;31;14/06/2014 18:00;14/06/2014 19:00;16027.834
14/06/2014 17:00;14/06/2014 18:00;32;14/06/2014 19:00;14/06/2014 20:00;21967.931
14/06/2014 18:00;14/06/2014 19:00;33;14/06/2014 20:00;14/06/2014 21:00;29297.182
14/06/2014 19:00;14/06/2014 20:00;34;14/06/2014 21:00;14/06/2014 22:00;40028.677
14/06/2014 20:00;14/06/2014 21:00;35;14/06/2014 22:00;14/06/2014 23:00;31306.445
14/06/2014 21:00;14/06/2014 22:00;36;14/06/2014 23:00;15/06/2014 00:00;25933.628
14/06/2014 22:00;14/06/2014 23:00;37;15/06/2014 00:00;15/06/2014 01:00;22390.182
14/06/2014 23:00;15/06/2014 00:00;38;15/06/2014 01:00;15/06/2014 02:00;21340.675
15/06/2014 00:00;15/06/2014 01:00;39;15/06/2014 02:00;15/06/2014 03:00;18902.693
15/06/2014 01:00;15/06/2014 02:00;40;15/06/2014 03:00;15/06/2014 04:00;17414.013
15/06/2014 02:00;15/06/2014 03:00;41;15/06/2014 04:00;15/06/2014 05:00;17105.823
15/06/2014 03:00;15/06/2014 04:00;42;15/06/2014 05:00;15/06/2014 06:00;17052.365
15/06/2014 04:00;15/06/2014 05:00;43;15/06/2014 06:00;15/06/2014 07:00;16432.556
15/06/2014 05:00;15/06/2014 06:00;44;15/06/2014 07:00;15/06/2014 08:00;15137.560
15/06/2014 06:00;15/06/2014 07:00;45;15/06/2014 08:00;15/06/2014 09:00;13269.117
15/06/2014 07:00;15/06/2014 08:00;46;15/06/2014 09:00;15/06/2014 10:00;10663.405
15/06/2014 08:00;15/06/2014 09:00;47;15/06/2014 10:00;15/06/2014 11:00;7509.398
15/06/2014 09:00;15/06/2014 10:00;48;15/06/2014 11:00;15/06/2014 12:00;6341.704
15/06/2014 10:00;15/06/2014 11:00;49;15/06/2014 12:00;15/06/2014 13:00;8557.544
15/06/2014 11:00;15/06/2014 12:00;50;15/06/2014 13:00;15/06/2014 14:00;10902.346
15/06/2014 12:00;15/06/2014 13:00;51;15/06/2014 14:00;15/06/2014 15:00;16166.562
15/06/2014 13:00;15/06/2014 14:00;52;15/06/2014 15:00;15/06/2014 16:00;22992.267
15/06/2014 14:00;15/06/2014 15:00;53;15/06/2014 16:00;15/06/2014 17:00;21901.187
15/06/2014 15:00;15/06/2014 16:00;54;15/06/2014 17:00;15/06/2014 18:00;16589.990
15/06/2014 16:00;15/06/2014 17:00;55;15/06/2014 18:00;15/06/2014 19:00;13610.525
15/06/2014 17:00;15/06/2014 18:00;56;15/06/2014 19:00;15/06/2014 20:00;14389.602
15/06/2014 18:00;15/06/2014 19:00;57;15/06/2014 20:00;15/06/2014 21:00;18202.740
15/06/2014 19:00;15/06/2014 20:00;58;15/06/2014 21:00;15/06/2014 22:00;25353.581
15/06/2014 20:00;15/06/2014 21:00;59;15/06/2014 22:00;15/06/2014 23:00;35086.031
15/06/2014 21:00;15/06/2014 22:00;60;15/06/2014 23:00;16/06/2014 00:00;44353.277
15/06/2014 22:00;15/06/2014 23:00;61;16/06/2014 00:00;16/06/2014 01:00;48171.770
15/06/2014 23:00;16/06/2014 00:00;62;16/06/2014 01:00;16/06/2014 02:00;43802.784
16/06/2014 00:00;16/06/2014 01:00;63;16/06/2014 02:00;16/06/2014 03:00;31382.392
16/06/2014 01:00;16/06/2014 02:00;64;16/06/2014 03:00;16/06/2014 04:00;25418.228
16/06/2014 02:00;16/06/2014 03:00;65;16/06/2014 04:00;16/06/2014 05:00;22053.543
16/06/2014 03:00;16/06/2014 04:00;66;16/06/2014 05:00;16/06/2014 06:00;21545.519
16/06/2014 04:00;16/06/2014 05:00;67;16/06/2014 06:00;16/06/2014 07:00;23028.320
16/06/2014 05:00;16/06/2014 06:00;68;16/06/2014 07:00;16/06/2014 08:00;26218.006
16/06/2014 06:00;16/06/2014 07:00;69;16/06/2014 08:00;16/06/2014 09:00;29995.577
16/06/2014 07:00;16/06/2014 08:00;70;16/06/2014 09:00;16/06/2014 10:00;33483.596
16/06/2014 08:00;16/06/2014 09:00;71;16/06/2014 10:00;16/06/2014 11:00;34702.803
16/06/2014 09:00;16/06/2014 10:00;72;16/06/2014 11:00;16/06/2014 12:00;33407.495
