FromUtc;ToUtc;HourAhead;FromLocal;ToLocal;Power (kW)
03/06/2014 09:00;03/06/2014 10:00;0;03/06/2014 11:00;03/06/2014 12:00;14386.601
03/06/2014 10:00;03/06/2014 11:00;1;03/06/2014 12:00;03/06/2014 13:00;14386.601
03/06/2014 11:00;03/06/2014 12:00;2;03/06/2014 13:00;03/06/2014 14:00;19328.238
03/06/2014 12:00;03/06/2014 13:00;3;03/06/2014 14:00;03/06/2014 15:00;25040.868
03/06/2014 13:00;03/06/2014 14:00;4;03/06/2014 15:00;03/06/2014 16:00;31897.733
03/06/2014 14:00;03/06/2014 15:00;5;03/06/2014 16:00;03/06/2014 17:00;30845.030
03/06/2014 15:00;03/06/2014 16:00;6;03/06/2014 17:00;03/06/2014 18:00;28324.374
03/06/2014 16:00;03/06/2014 17:00;7;03/06/2014 18:00;03/06/2014 19:00;23972.548
03/06/2014 17:00;03/06/2014 18:00;8;03/06/2014 19:00;03/06/2014 20:00;15904.675
03/06/2014 18:00;03/06/2014 19:00;9;03/06/2014 20:00;03/06/2014 21:00;11653.341
03/06/2014 19:00;03/06/2014 20:00;10;03/06/2014 21:00;03/06/2014 22:00;9845.310
03/06/2014 20:00;03/06/2014 21:00;11;03/06/2014 22:00;03/06/2014 23:00;9312.740
03/06/2014 21:00;03/06/2014 22:00;12;03/06/2014 23:00;04/06/2014 00:00;7533.355
03/06/2014 22:00;03/06/2014 23:00;13;04/06/2014 00:00;04/06/2014 01:00;5693.392
03/06/2014 23:00;04/06/2014 00:00;14;04/06/2014 01:00;04/06/2014 02:00;6252.691
04/06/2014 00:00;04/06/2014 01:00;15;04/06/2014 02:00;04/06/2014 03:00;8177.015
04/06/2014 01:00;04/06/2014 02:00;16;04/06/2014 03:00;04/06/2014 04:00;9513.236
04/06/2014 02:00;04/06/2014 03:00;17;04/06/2014 04:00;04/06/2014 05:00;8485.129
04/06/2014 03:00;04/06/2014 04:00;18;04/06/2014 05:00;04/06/2014 06:00;7831.639
