FromUtc;ToUtc;HourAhead;FromLocal;ToLocal;Power (kW)
29/06/2014 09:00;29/06/2014 10:00;0;29/06/2014 11:00;29/06/2014 12:00;7492.023
29/06/2014 10:00;29/06/2014 11:00;1;29/06/2014 12:00;29/06/2014 13:00;7492.023
29/06/2014 11:00;29/06/2014 12:00;2;29/06/2014 13:00;29/06/2014 14:00;8255.261
29/06/2014 12:00;29/06/2014 13:00;3;29/06/2014 14:00;29/06/2014 15:00;10243.014
29/06/2014 13:00;29/06/2014 14:00;4;29/06/2014 15:00;29/06/2014 16:00;11843.096
29/06/2014 14:00;29/06/2014 15:00;5;29/06/2014 16:00;29/06/2014 17:00;11943.652
29/06/2014 15:00;29/06/2014 16:00;6;29/06/2014 17:00;29/06/2014 18:00;13549.499
29/06/2014 16:00;29/06/2014 17:00;7;29/06/2014 18:00;29/06/2014 19:00;15268.263
29/06/2014 17:00;29/06/2014 18:00;8;29/06/2014 19:00;29/06/2014 20:00;16138.932
29/06/2014 18:00;29/06/2014 19:00;9;29/06/2014 20:00;29/06/2014 21:00;16040.252
29/06/2014 19:00;29/06/2014 20:00;10;29/06/2014 21:00;29/06/2014 22:00;16559.180
29/06/2014 20:00;29/06/2014 21:00;11;29/06/2014 22:00;29/06/2014 23:00;17433.988
29/06/2014 21:00;29/06/2014 22:00;12;29/06/2014 23:00;30/06/2014 00:00;16519.389
29/06/2014 22:00;29/06/2014 23:00;13;30/06/2014 00:00;30/06/2014 01:00;14879.956
29/06/2014 23:00;30/06/2014 00:00;14;30/06/2014 01:00;30/06/2014 02:00;13168.473
30/06/2014 00:00;30/06/2014 01:00;15;30/06/2014 02:00;30/06/2014 03:00;11950.501
30/06/2014 01:00;30/06/2014 02:00;16;30/06/2014 03:00;30/06/2014 04:00;11913.552
30/06/2014 02:00;30/06/2014 03:00;17;30/06/2014 04:00;30/06/2014 05:00;13347.472
30/06/2014 03:00;30/06/2014 04:00;18;30/06/2014 05:00;30/06/2014 06:00;14069.010
30/06/2014 04:00;30/06/2014 05:00;19;30/06/2014 06:00;30/06/2014 07:00;13750.843
30/06/2014 05:00;30/06/2014 06:00;20;30/06/2014 07:00;30/06/2014 08:00;14732.577
30/06/2014 06:00;30/06/2014 07:00;21;30/06/2014 08:00;30/06/2014 09:00;16606.741
30/06/2014 07:00;30/06/2014 08:00;22;30/06/2014 09:00;30/06/2014 10:00;17267.979
