FromUtc;ToUtc;HourAhead;FromLocal;ToLocal;Power (kW)
08/06/2014 09:00;08/06/2014 10:00;0;08/06/2014 11:00;08/06/2014 12:00;46030.618
08/06/2014 10:00;08/06/2014 11:00;1;08/06/2014 12:00;08/06/2014 13:00;46030.618
08/06/2014 11:00;08/06/2014 12:00;2;08/06/2014 13:00;08/06/2014 14:00;60077.677
08/06/2014 12:00;08/06/2014 13:00;3;08/06/2014 14:00;08/06/2014 15:00;75043.465
08/06/2014 13:00;08/06/2014 14:00;4;08/06/2014 15:00;08/06/2014 16:00;81373.402
08/06/2014 14:00;08/06/2014 15:00;5;08/06/2014 16:00;08/06/2014 17:00;57617.924
08/06/2014 15:00;08/06/2014 16:00;6;08/06/2014 17:00;08/06/2014 18:00;38376.778
08/06/2014 16:00;08/06/2014 17:00;7;08/06/2014 18:00;08/06/2014 19:00;26901.402
08/06/2014 17:00;08/06/2014 18:00;8;08/06/2014 19:00;08/06/2014 20:00;25251.526
08/06/2014 18:00;08/06/2014 19:00;9;08/06/2014 20:00;08/06/2014 21:00;27690.796
08/06/2014 19:00;08/06/2014 20:00;10;08/06/2014 21:00;08/06/2014 22:00;20537.941
08/06/2014 20:00;08/06/2014 21:00;11;08/06/2014 22:00;08/06/2014 23:00;16144.583
08/06/2014 21:00;08/06/2014 22:00;12;08/06/2014 23:00;09/06/2014 00:00;13594.527
08/06/2014 22:00;08/06/2014 23:00;13;09/06/2014 00:00;09/06/2014 01:00;12039.788
08/06/2014 23:00;09/06/2014 00:00;14;09/06/2014 01:00;09/06/2014 02:00;13316.488
09/06/2014 00:00;09/06/2014 01:00;15;09/06/2014 02:00;09/06/2014 03:00;14853.384
09/06/2014 01:00;09/06/2014 02:00;16;09/06/2014 03:00;09/06/2014 04:00;16663.741
09/06/2014 02:00;09/06/2014 03:00;17;09/06/2014 04:00;09/06/2014 05:00;17693.667
09/06/2014 03:00;09/06/2014 04:00;18;09/06/2014 05:00;09/06/2014 06:00;19506.587
09/06/2014 04:00;09/06/2014 05:00;19;09/06/2014 06:00;09/06/2014 07:00;20875.919
09/06/2014 05:00;09/06/2014 06:00;20;09/06/2014 07:00;09/06/2014 08:00;19092.588
09/06/2014 06:00;09/06/2014 07:00;21;09/06/2014 08:00;09/06/2014 09:00;17654.345
09/06/2014 07:00;09/06/2014 08:00;22;09/06/2014 09:00;09/06/2014 10:00;16191.303
09/06/2014 08:00;09/06/2014 09:00;23;09/06/2014 10:00;09/06/2014 11:00;15683.625
09/06/2014 09:00;09/06/2014 10:00;24;09/06/2014 11:00;09/06/2014 12:00;14594.825
09/06/2014 10:00;09/06/2014 11:00;25;09/06/2014 12:00;09/06/2014 13:00;13636.197
09/06/2014 11:00;09/06/2014 12:00;26;09/06/2014 13:00;09/06/2014 14:00;10652.174
