FromUtc;ToUtc;HourAhead;FromLocal;ToLocal;Power (kW)
19/06/2014 09:00;19/06/2014 10:00;0;19/06/2014 11:00;19/06/2014 12:00;207975.080
19/06/2014 10:00;19/06/2014 11:00;1;19/06/2014 12:00;19/06/2014 13:00;207975.080
19/06/2014 11:00;19/06/2014 12:00;2;19/06/2014 13:00;19/06/2014 14:00;207469.752
19/06/2014 12:00;19/06/2014 13:00;3;19/06/2014 14:00;19/06/2014 15:00;207401.154
19/06/2014 13:00;19/06/2014 14:00;4;19/06/2014 15:00;19/06/2014 16:00;207188.258
19/06/2014 14:00;19/06/2014 15:00;5;19/06/2014 16:00;19/06/2014 17:00;207226.236
19/06/2014 15:00;19/06/2014 16:00;6;19/06/2014 17:00;19/06/2014 18:00;207203.704
19/06/2014 16:00;19/06/2014 17:00;7;19/06/2014 18:00;19/06/2014 19:00;207079.407
19/06/2014 17:00;19/06/2014 18:00;8;19/06/2014 19:00;19/06/2014 20:00;207405.780
19/06/2014 18:00;19/06/2014 19:00;9;19/06/2014 20:00;19/06/2014 21:00;207796.146
19/06/2014 19:00;19/06/2014 20:00;10;19/06/2014 21:00;19/06/2014 22:00;208743.661
19/06/2014 20:00;19/06/2014 21:00;11;19/06/2014 22:00;19/06/2014 23:00;209480.866
19/06/2014 21:00;19/06/2014 22:00;12;19/06/2014 23:00;20/06/2014 00:00;209327.670
19/06/2014 22:00;19/06/2014 23:00;13;20/06/2014 00:00;20/06/2014 01:00;208831.654
19/06/2014 23:00;20/06/2014 00:00;14;20/06/2014 01:00;20/06/2014 02:00;207793.149
20/06/2014 00:00;20/06/2014 01:00;15;20/06/2014 02:00;20/06/2014 03:00;204202.186
20/06/2014 01:00;20/06/2014 02:00;16;20/06/2014 03:00;20/06/2014 04:00;196005.575
20/06/2014 02:00;20/06/2014 03:00;17;20/06/2014 04:00;20/06/2014 05:00;184810.615
20/06/2014 03:00;20/06/2014 04:00;18;20/06/2014 05:00;20/06/2014 06:00;169521.265
20/06/2014 04:00;20/06/2014 05:00;19;20/06/2014 06:00;20/06/2014 07:00;153424.484
20/06/2014 05:00;20/06/2014 06:00;20;20/06/2014 07:00;20/06/2014 08:00;139987.897
20/06/2014 06:00;20/06/2014 07:00;21;20/06/2014 08:00;20/06/2014 09:00;129736.947
20/06/2014 07:00;20/06/2014 08:00;22;20/06/2014 09:00;20/06/2014 10:00;118262.498
20/06/2014 08:00;20/06/2014 09:00;23;20/06/2014 10:00;20/06/2014 11:00;114402.080
20/06/2014 09:00;20/06/2014 10:00;24;20/06/2014 11:00;20/06/2014 12:00;110560.419
20/06/2014 10:00;20/06/2014 11:00;25;20/06/2014 12:00;20/06/2014 13:00;109235.518
20/06/2014 11:00;20/06/2014 12:00;26;20/06/2014 13:00;20/06/2014 14:00;124304.868
20/06/2014 12:00;20/06/2014 13:00;27;20/06/2014 14:00;20/06/2014 15:00;144561.108
20/06/2014 13:00;20/06/2014 14:00;28;20/06/2014 15:00;20/06/2014 16:00;163773.454
