FromUtc;ToUtc;HourAhead;FromLocal;ToLocal;Power (kW)
07/06/2014 09:00;07/06/2014 10:00;0;07/06/2014 11:00;07/06/2014 12:00;5795.153
07/06/2014 10:00;07/06/2014 11:00;1;07/06/2014 12:00;07/06/2014 13:00;6112.200
07/06/2014 11:00;07/06/2014 12:00;2;07/06/2014 13:00;07/06/2014 14:00;5680.782
07/06/2014 12:00;07/06/2014 13:00;3;07/06/2014 14:00;07/06/2014 15:00;5742.413
07/06/2014 13:00;07/06/2014 14:00;4;07/06/2014 15:00;07/06/2014 16:00;5545.311
07/06/2014 14:00;07/06/2014 15:00;5;07/06/2014 16:00;07/06/2014 17:00;5840.836
07/06/2014 15:00;07/06/2014 16:00;6;07/06/2014 17:00;07/06/2014 18:00;6338.335
07/06/2014 16:00;07/06/2014 17:00;7;07/06/2014 18:00;07/06/2014 19:00;7991.386
07/06/2014 17:00;07/06/2014 18:00;8;07/06/2014 19:00;07/06/2014 20:00;7222.268
07/06/2014 18:00;07/06/2014 19:00;9;07/06/2014 20:00;07/06/2014 21:00;7674.256
07/06/2014 19:00;07/06/2014 20:00;10;07/06/2014 21:00;07/06/2014 22:00;8406.809
07/06/2014 20:00;07/06/2014 21:00;11;07/06/2014 22:00;07/06/2014 23:00;7827.103
07/06/2014 21:00;07/06/2014 22:00;12;07/06/2014 23:00;08/06/2014 00:00;10226.834
07/06/2014 22:00;07/06/2014 23:00;13;08/06/2014 00:00;08/06/2014 01:00;11380.281
07/06/2014 23:00;08/06/2014 00:00;14;08/06/2014 01:00;08/06/2014 02:00;10232.869
08/06/2014 00:00;08/06/2014 01:00;15;08/06/2014 02:00;08/06/2014 03:00;15298.462
08/06/2014 01:00;08/06/2014 02:00;16;08/06/2014 03:00;08/06/2014 04:00;18647.651
08/06/2014 02:00;08/06/2014 03:00;17;08/06/2014 04:00;08/06/2014 05:00;21840.087
08/06/2014 03:00;08/06/2014 04:00;18;08/06/2014 05:00;08/06/2014 06:00;26411.430
08/06/2014 04:00;08/06/2014 05:00;19;08/06/2014 06:00;08/06/2014 07:00;31837.284
08/06/2014 05:00;08/06/2014 06:00;20;08/06/2014 07:00;08/06/2014 08:00;39300.913
08/06/2014 06:00;08/06/2014 07:00;21;08/06/2014 08:00;08/06/2014 09:00;49252.496
08/06/2014 07:00;08/06/2014 08:00;22;08/06/2014 09:00;08/06/2014 10:00;53220.242
08/06/2014 08:00;08/06/2014 09:00;23;08/06/2014 10:00;08/06/2014 11:00;41471.803
08/06/2014 09:00;08/06/2014 10:00;24;08/06/2014 11:00;08/06/2014 12:00;36786.046
08/06/2014 10:00;08/06/2014 11:00;25;08/06/2014 12:00;08/06/2014 13:00;34904.594
08/06/2014 11:00;08/06/2014 12:00;26;08/06/2014 13:00;08/06/2014 14:00;25370.754
08/06/2014 12:00;08/06/2014 13:00;27;08/06/2014 14:00;08/06/2014 15:00;17451.693
08/06/2014 13:00;08/06/2014 14:00;28;08/06/2014 15:00;08/06/2014 16:00;11794.146
08/06/2014 14:00;08/06/2014 15:00;29;08/06/2014 16:00;08/06/2014 17:00;13566.577
08/06/2014 15:00;08/06/2014 16:00;30;08/06/2014 17:00;08/06/2014 18:00;15768.183
08/06/2014 16:00;08/06/2014 17:00;31;08/06/2014 18:00;08/06/2014 19:00;27455.000
08/06/2014 17:00;08/06/2014 18:00;32;08/06/2014 19:00;08/06/2014 20:00;35530.566
08/06/2014 18:00;08/06/2014 19:00;33;08/06/2014 20:00;08/06/2014 21:00;44824.713
08/06/2014 19:00;08/06/2014 20:00;34;08/06/2014 21:00;08/06/2014 22:00;35258.604
08/06/2014 20:00;08/06/2014 21:00;35;08/06/2014 22:00;08/06/2014 23:00;28342.678
08/06/2014 21:00;08/06/2014 22:00;36;08/06/2014 23:00;09/06/2014 00:00;32935.929
08/06/2014 22:00;08/06/2014 23:00;37;09/06/2014 00:00;09/06/2014 01:00;36051.320
08/06/2014 23:00;09/06/2014 00:00;38;09/06/2014 01:00;09/06/2014 02:00;34267.757
09/06/2014 00:00;09/06/2014 01:00;39;09/06/2014 02:00;09/06/2014 03:00;29751.875
09/06/2014 01:00;09/06/2014 02:00;40;09/06/2014 03:00;09/06/2014 04:00;30663.470
09/06/2014 02:00;09/06/2014 03:00;41;09/06/2014 04:00;09/06/2014 05:00;27275.553
09/06/2014 03:00;09/06/2014 04:00;42;09/06/2014 05:00;09/06/2014 06:00;22063.339
09/06/2014 04:00;09/06/2014 05:00;43;09/06/2014 06:00;09/06/2014 07:00;21603.611
09/06/2014 05:00;09/06/2014 06:00;44;09/06/2014 07:00;09/06/2014 08:00;24865.678
09/06/2014 06:00;09/06/2014 07:00;45;09/06/2014 08:00;09/06/2014 09:00;30058.234
09/06/2014 07:00;09/06/2014 08:00;46;09/06/2014 09:00;09/06/2014 10:00;31799.240
09/06/2014 08:00;09/06/2014 09:00;47;09/06/2014 10:00;09/06/2014 11:00;23794.982
09/06/2014 09:00;09/06/2014 10:00;48;09/06/2014 11:00;09/06/2014 12:00;14619.093
09/06/2014 10:00;09/06/2014 11:00;49;09/06/2014 12:00;09/06/2014 13:00;9283.610
09/06/2014 11:00;09/06/2014 12:00;50;09/06/2014 13:00;09/06/2014 14:00;6614.120
09/06/2014 12:00;09/06/2014 13:00;51;09/06/2014 14:00;09/06/2014 15:00;5375.148
09/06/2014 13:00;09/06/2014 14:00;52;09/06/2014 15:00;09/06/2014 16:00;5375.121
09/06/2014 14:00;09/06/2014 15:00;53;09/06/2014 16:00;09/06/2014 17:00;5783.796
09/06/2014 15:00;09/06/2014 16:00;54;09/06/2014 17:00;09/06/2014 18:00;5966.112
09/06/2014 16:00;09/06/2014 17:00;55;09/06/2014 18:00;09/06/2014 19:00;6459.072
09/06/2014 17:00;09/06/2014 18:00;56;09/06/2014 19:00;09/06/2014 20:00;7057.173
09/06/2014 18:00;09/06/2014 19:00;57;09/06/2014 20:00;09/06/2014 21:00;7856.977
09/06/2014 19:00;09/06/2014 20:00;58;09/06/2014 21:00;09/06/2014 22:00;10712.845
09/06/2014 20:00;09/06/2014 21:00;59;09/06/2014 22:00;09/06/2014 23:00;17380.250
09/06/2014 21:00;09/06/2014 22:00;60;09/06/2014 23:00;10/06/2014 00:00;29649.879
09/06/2014 22:00;09/06/2014 23:00;61;10/06/2014 00:00;10/06/2014 01:00;43546.602
09/06/2014 23:00;10/06/2014 00:00;62;10/06/2014 01:00;10/06/2014 02:00;51376.074
10/06/2014 00:00;10/06/2014 01:00;63;10/06/2014 02:00;10/06/2014 03:00;58600.951
10/06/2014 01:00;10/06/2014 02:00;64;10/06/2014 03:00;10/06/2014 04:00;55997.843
10/06/2014 02:00;10/06/2014 03:00;65;10/06/2014 04:00;10/06/2014 05:00;54669.731
10/06/2014 03:00;10/06/2014 04:00;66;10/06/2014 05:00;10/06/2014 06:00;54951.703
10/06/2014 04:00;10/06/2014 05:00;67;10/06/2014 06:00;10/06/2014 07:00;58206.763
10/06/2014 05:00;10/06/2014 06:00;68;10/06/2014 07:00;10/06/2014 08:00;61815.963
10/06/2014 06:00;10/06/2014 07:00;69;10/06/2014 08:00;10/06/2014 09:00;70480.545
10/06/2014 07:00;10/06/2014 08:00;70;10/06/2014 09:00;10/06/2014 10:00;84844.356
10/06/2014 08:00;10/06/2014 09:00;71;10/06/2014 10:00;10/06/2014 11:00;105231.178
10/06/2014 09:00;10/06/2014 10:00;72;10/06/2014 11:00;10/06/2014 12:00;128347.622
