FromUtc;ToUtc;HourAhead;FromLocal;ToLocal;Power (kW)
30/06/2014 09:00;30/06/2014 10:00;0;30/06/2014 11:00;30/06/2014 12:00;18805.756
30/06/2014 10:00;30/06/2014 11:00;1;30/06/2014 12:00;30/06/2014 13:00;18805.756
30/06/2014 11:00;30/06/2014 12:00;2;30/06/2014 13:00;30/06/2014 14:00;24398.205
30/06/2014 12:00;30/06/2014 13:00;3;30/06/2014 14:00;30/06/2014 15:00;32265.859
30/06/2014 13:00;30/06/2014 14:00;4;30/06/2014 15:00;30/06/2014 16:00;40882.216
30/06/2014 14:00;30/06/2014 15:00;5;30/06/2014 16:00;30/06/2014 17:00;39121.399
30/06/2014 15:00;30/06/2014 16:00;6;30/06/2014 17:00;30/06/2014 18:00;36027.708
30/06/2014 16:00;30/06/2014 17:00;7;30/06/2014 18:00;30/06/2014 19:00;38577.496
30/06/2014 17:00;30/06/2014 18:00;8;30/06/2014 19:00;30/06/2014 20:00;53163.932
30/06/2014 18:00;30/06/2014 19:00;9;30/06/2014 20:00;30/06/2014 21:00;75709.439
30/06/2014 19:00;30/06/2014 20:00;10;30/06/2014 21:00;30/06/2014 22:00;78533.134
30/06/2014 20:00;30/06/2014 21:00;11;30/06/2014 22:00;30/06/2014 23:00;76107.827
30/06/2014 21:00;30/06/2014 22:00;12;30/06/2014 23:00;01/07/2014 00:00;83540.322
30/06/2014 22:00;30/06/2014 23:00;13;01/07/2014 00:00;01/07/2014 01:00;87456.128
30/06/2014 23:00;01/07/2014 00:00;14;01/07/2014 01:00;01/07/2014 02:00;87774.118
01/07/2014 00:00;01/07/2014 01:00;15;01/07/2014 02:00;01/07/2014 03:00;80363.055
01/07/2014 01:00;01/07/2014 02:00;16;01/07/2014 03:00;01/07/2014 04:00;84879.041
01/07/2014 02:00;01/07/2014 03:00;17;01/07/2014 04:00;01/07/2014 05:00;85451.447
01/07/2014 03:00;01/07/2014 04:00;18;01/07/2014 05:00;01/07/2014 06:00;83432.897
01/07/2014 04:00;01/07/2014 05:00;19;01/07/2014 06:00;01/07/2014 07:00;80289.615
01/07/2014 05:00;01/07/2014 06:00;20;01/07/2014 07:00;01/07/2014 08:00;64773.504
01/07/2014 06:00;01/07/2014 07:00;21;01/07/2014 08:00;01/07/2014 09:00;52599.979
01/07/2014 07:00;01/07/2014 08:00;22;01/07/2014 09:00;01/07/2014 10:00;43843.601
01/07/2014 08:00;01/07/2014 09:00;23;01/07/2014 10:00;01/07/2014 11:00;45079.884
01/07/2014 09:00;01/07/2014 10:00;24;01/07/2014 11:00;01/07/2014 12:00;48794.940
01/07/2014 10:00;01/07/2014 11:00;25;01/07/2014 12:00;01/07/2014 13:00;51542.077
01/07/2014 11:00;01/07/2014 12:00;26;01/07/2014 13:00;01/07/2014 14:00;47162.779
01/07/2014 12:00;01/07/2014 13:00;27;01/07/2014 14:00;01/07/2014 15:00;39647.157
01/07/2014 13:00;01/07/2014 14:00;28;01/07/2014 15:00;01/07/2014 16:00;33521.235
01/07/2014 14:00;01/07/2014 15:00;29;01/07/2014 16:00;01/07/2014 17:00;41652.858
01/07/2014 15:00;01/07/2014 16:00;30;01/07/2014 17:00;01/07/2014 18:00;52262.456
01/07/2014 16:00;01/07/2014 17:00;31;01/07/2014 18:00;01/07/2014 19:00;71407.233
01/07/2014 17:00;01/07/2014 18:00;32;01/07/2014 19:00;01/07/2014 20:00;77842.876
01/07/2014 18:00;01/07/2014 19:00;33;01/07/2014 20:00;01/07/2014 21:00;70177.450
01/07/2014 19:00;01/07/2014 20:00;34;01/07/2014 21:00;01/07/2014 22:00;76381.584
01/07/2014 20:00;01/07/2014 21:00;35;01/07/2014 22:00;01/07/2014 23:00;90386.904
01/07/2014 21:00;01/07/2014 22:00;36;01/07/2014 23:00;02/07/2014 00:00;87104.491
01/07/2014 22:00;01/07/2014 23:00;37;02/07/2014 00:00;02/07/2014 01:00;84740.838
01/07/2014 23:00;02/07/2014 00:00;38;02/07/2014 01:00;02/07/2014 02:00;84152.584
02/07/2014 00:00;02/07/2014 01:00;39;02/07/2014 02:00;02/07/2014 03:00;80164.061
02/07/2014 01:00;02/07/2014 02:00;40;02/07/2014 03:00;02/07/2014 04:00;76134.948
02/07/2014 02:00;02/07/2014 03:00;41;02/07/2014 04:00;02/07/2014 05:00;74219.834
02/07/2014 03:00;02/07/2014 04:00;42;02/07/2014 05:00;02/07/2014 06:00;68571.011
02/07/2014 04:00;02/07/2014 05:00;43;02/07/2014 06:00;02/07/2014 07:00;66080.512
02/07/2014 05:00;02/07/2014 06:00;44;02/07/2014 07:00;02/07/2014 08:00;72654.942
02/07/2014 06:00;02/07/2014 07:00;45;02/07/2014 08:00;02/07/2014 09:00;84213.910
02/07/2014 07:00;02/07/2014 08:00;46;02/07/2014 09:00;02/07/2014 10:00;91061.101
02/07/2014 08:00;02/07/2014 09:00;47;02/07/2014 10:00;02/07/2014 11:00;85389.616
02/07/2014 09:00;02/07/2014 10:00;48;02/07/2014 11:00;02/07/2014 12:00;74075.524
02/07/2014 10:00;02/07/2014 11:00;49;02/07/2014 12:00;02/07/2014 13:00;65375.531
02/07/2014 11:00;02/07/2014 12:00;50;02/07/2014 13:00;02/07/2014 14:00;63711.779
02/07/2014 12:00;02/07/2014 13:00;51;02/07/2014 14:00;02/07/2014 15:00;67614.800
02/07/2014 13:00;02/07/2014 14:00;52;02/07/2014 15:00;02/07/2014 16:00;77033.736
02/07/2014 14:00;02/07/2014 15:00;53;02/07/2014 16:00;02/07/2014 17:00;90282.117
02/07/2014 15:00;02/07/2014 16:00;54;02/07/2014 17:00;02/07/2014 18:00;104733.821
02/07/2014 16:00;02/07/2014 17:00;55;02/07/2014 18:00;02/07/2014 19:00;119063.806
02/07/2014 17:00;02/07/2014 18:00;56;02/07/2014 19:00;02/07/2014 20:00;128572.011
02/07/2014 18:00;02/07/2014 19:00;57;02/07/2014 20:00;02/07/2014 21:00;133662.562
02/07/2014 19:00;02/07/2014 20:00;58;02/07/2014 21:00;02/07/2014 22:00;135246.447
02/07/2014 20:00;02/07/2014 21:00;59;02/07/2014 22:00;02/07/2014 23:00;133278.202
02/07/2014 21:00;02/07/2014 22:00;60;02/07/2014 23:00;03/07/2014 00:00;129338.338
02/07/2014 22:00;02/07/2014 23:00;61;03/07/2014 00:00;03/07/2014 01:00;120608.439
02/07/2014 23:00;03/07/2014 00:00;62;03/07/2014 01:00;03/07/2014 02:00;108819.259
03/07/2014 00:00;03/07/2014 01:00;63;03/07/2014 02:00;03/07/2014 03:00;87314.614
