FromUtc;ToUtc;HourAhead;FromLocal;ToLocal;Power (kW)
27/06/2014 09:00;27/06/2014 10:00;0;27/06/2014 11:00;27/06/2014 12:00;9423.512
27/06/2014 10:00;27/06/2014 11:00;1;27/06/2014 12:00;27/06/2014 13:00;9423.512
27/06/2014 11:00;27/06/2014 12:00;2;27/06/2014 13:00;27/06/2014 14:00;8972.409
27/06/2014 12:00;27/06/2014 13:00;3;27/06/2014 14:00;27/06/2014 15:00;8372.055
27/06/2014 13:00;27/06/2014 14:00;4;27/06/2014 15:00;27/06/2014 16:00;8202.609
27/06/2014 14:00;27/06/2014 15:00;5;27/06/2014 16:00;27/06/2014 17:00;10337.685
27/06/2014 15:00;27/06/2014 16:00;6;27/06/2014 17:00;27/06/2014 18:00;13536.692
27/06/2014 16:00;27/06/2014 17:00;7;27/06/2014 18:00;27/06/2014 19:00;18157.442
27/06/2014 17:00;27/06/2014 18:00;8;27/06/2014 19:00;27/06/2014 20:00;21697.258
27/06/2014 18:00;27/06/2014 19:00;9;27/06/2014 20:00;27/06/2014 21:00;26758.704
27/06/2014 19:00;27/06/2014 20:00;10;27/06/2014 21:00;27/06/2014 22:00;32728.349
27/06/2014 20:00;27/06/2014 21:00;11;27/06/2014 22:00;27/06/2014 23:00;37629.179
27/06/2014 21:00;27/06/2014 22:00;12;27/06/2014 23:00;28/06/2014 00:00;40122.415
27/06/2014 22:00;27/06/2014 23:00;13;28/06/2014 00:00;28/06/2014 01:00;55658.599
27/06/2014 23:00;28/06/2014 00:00;14;28/06/2014 01:00;28/06/2014 02:00;65262.199
28/06/2014 00:00;28/06/2014 01:00;15;28/06/2014 02:00;28/06/2014 03:00;60352.193
28/06/2014 01:00;28/06/2014 02:00;16;28/06/2014 03:00;28/06/2014 04:00;59292.496
28/06/2014 02:00;28/06/2014 03:00;17;28/06/2014 04:00;28/06/2014 05:00;63297.513
28/06/2014 03:00;28/06/2014 04:00;18;28/06/2014 05:00;28/06/2014 06:00;68993.013
28/06/2014 04:00;28/06/2014 05:00;19;28/06/2014 06:00;28/06/2014 07:00;69141.891
28/06/2014 05:00;28/06/2014 06:00;20;28/06/2014 07:00;28/06/2014 08:00;48016.813
28/06/2014 06:00;28/06/2014 07:00;21;28/06/2014 08:00;28/06/2014 09:00;41940.804
28/06/2014 07:00;28/06/2014 08:00;22;28/06/2014 09:00;28/06/2014 10:00;32313.033
28/06/2014 08:00;28/06/2014 09:00;23;28/06/2014 10:00;28/06/2014 11:00;23141.024
28/06/2014 09:00;28/06/2014 10:00;24;28/06/2014 11:00;28/06/2014 12:00;16266.912
28/06/2014 10:00;28/06/2014 11:00;25;28/06/2014 12:00;28/06/2014 13:00;12468.110
28/06/2014 11:00;28/06/2014 12:00;26;28/06/2014 13:00;28/06/2014 14:00;15226.532
28/06/2014 12:00;28/06/2014 13:00;27;28/06/2014 14:00;28/06/2014 15:00;18418.983
28/06/2014 13:00;28/06/2014 14:00;28;28/06/2014 15:00;28/06/2014 16:00;19444.168
28/06/2014 14:00;28/06/2014 15:00;29;28/06/2014 16:00;28/06/2014 17:00;12984.089
28/06/2014 15:00;28/06/2014 16:00;30;28/06/2014 17:00;28/06/2014 18:00;8232.832
28/06/2014 16:00;28/06/2014 17:00;31;28/06/2014 18:00;28/06/2014 19:00;5952.328
28/06/2014 17:00;28/06/2014 18:00;32;28/06/2014 19:00;28/06/2014 20:00;9397.455
28/06/2014 18:00;28/06/2014 19:00;33;28/06/2014 20:00;28/06/2014 21:00;7242.402
28/06/2014 19:00;28/06/2014 20:00;34;28/06/2014 21:00;28/06/2014 22:00;5544.131
28/06/2014 20:00;28/06/2014 21:00;35;28/06/2014 22:00;28/06/2014 23:00;8107.482
28/06/2014 21:00;28/06/2014 22:00;36;28/06/2014 23:00;29/06/2014 00:00;11439.813
28/06/2014 22:00;28/06/2014 23:00;37;29/06/2014 00:00;29/06/2014 01:00;14608.069
28/06/2014 23:00;29/06/2014 00:00;38;29/06/2014 01:00;29/06/2014 02:00;16184.911
29/06/2014 00:00;29/06/2014 01:00;39;29/06/2014 02:00;29/06/2014 03:00;15387.785
29/06/2014 01:00;29/06/2014 02:00;40;29/06/2014 03:00;29/06/2014 04:00;15902.384
29/06/2014 02:00;29/06/2014 03:00;41;29/06/2014 04:00;29/06/2014 05:00;14595.458
29/06/2014 03:00;29/06/2014 04:00;42;29/06/2014 05:00;29/06/2014 06:00;12622.055
29/06/2014 04:00;29/06/2014 05:00;43;29/06/2014 06:00;29/06/2014 07:00;11147.887
29/06/2014 05:00;29/06/2014 06:00;44;29/06/2014 07:00;29/06/2014 08:00;10112.271
29/06/2014 06:00;29/06/2014 07:00;45;29/06/2014 08:00;29/06/2014 09:00;9180.648
29/06/2014 07:00;29/06/2014 08:00;46;29/06/2014 09:00;29/06/2014 10:00;8248.158
29/06/2014 08:00;29/06/2014 09:00;47;29/06/2014 10:00;29/06/2014 11:00;7384.659
29/06/2014 09:00;29/06/2014 10:00;48;29/06/2014 11:00;29/06/2014 12:00;7646.821
29/06/2014 10:00;29/06/2014 11:00;49;29/06/2014 12:00;29/06/2014 13:00;8582.161
29/06/2014 11:00;29/06/2014 12:00;50;29/06/2014 13:00;29/06/2014 14:00;10098.085
29/06/2014 12:00;29/06/2014 13:00;51;29/06/2014 14:00;29/06/2014 15:00;12438.720
29/06/2014 13:00;29/06/2014 14:00;52;29/06/2014 15:00;29/06/2014 16:00;14457.580
29/06/2014 14:00;29/06/2014 15:00;53;29/06/2014 16:00;29/06/2014 17:00;14724.670
29/06/2014 15:00;29/06/2014 16:00;54;29/06/2014 17:00;29/06/2014 18:00;11018.292
29/06/2014 16:00;29/06/2014 17:00;55;29/06/2014 18:00;29/06/2014 19:00;8645.240
29/06/2014 17:00;29/06/2014 18:00;56;29/06/2014 19:00;29/06/2014 20:00;13126.948
29/06/2014 18:00;29/06/2014 19:00;57;29/06/2014 20:00;29/06/2014 21:00;19315.359
29/06/2014 19:00;29/06/2014 20:00;58;29/06/2014 21:00;29/06/2014 22:00;25307.401
29/06/2014 20:00;29/06/2014 21:00;59;29/06/2014 22:00;29/06/2014 23:00;26243.556
29/06/2014 21:00;29/06/2014 22:00;60;29/06/2014 23:00;30/06/2014 00:00;23573.541
29/06/2014 22:00;29/06/2014 23:00;61;30/06/2014 00:00;30/06/2014 01:00;21880.146
29/06/2014 23:00;30/06/2014 00:00;62;30/06/2014 01:00;30/06/2014 02:00;23269.950
30/06/2014 00:00;30/06/2014 01:00;63;30/06/2014 02:00;30/06/2014 03:00;25674.530
30/06/2014 01:00;30/06/2014 02:00;64;30/06/2014 03:00;30/06/2014 04:00;29520.664
30/06/2014 02:00;30/06/2014 03:00;65;30/06/2014 04:00;30/06/2014 05:00;31282.453
30/06/2014 03:00;30/06/2014 04:00;66;30/06/2014 05:00;30/06/2014 06:00;30904.524
30/06/2014 04:00;30/06/2014 05:00;67;30/06/2014 06:00;30/06/2014 07:00;29112.334
30/06/2014 05:00;30/06/2014 06:00;68;30/06/2014 07:00;30/06/2014 08:00;26761.317
30/06/2014 06:00;30/06/2014 07:00;69;30/06/2014 08:00;30/06/2014 09:00;24821.665
30/06/2014 07:00;30/06/2014 08:00;70;30/06/2014 09:00;30/06/2014 10:00;23439.239
30/06/2014 08:00;30/06/2014 09:00;71;30/06/2014 10:00;30/06/2014 11:00;23933.009
30/06/2014 09:00;30/06/2014 10:00;72;30/06/2014 11:00;30/06/2014 12:00;25954.871
