FromUtc;ToUtc;HourAhead;FromLocal;ToLocal;Power (kW)
09/06/2014 09:00;09/06/2014 10:00;0;09/06/2014 11:00;09/06/2014 12:00;7902.960
09/06/2014 10:00;09/06/2014 11:00;1;09/06/2014 12:00;09/06/2014 13:00;8004.845
09/06/2014 11:00;09/06/2014 12:00;2;09/06/2014 13:00;09/06/2014 14:00;11484.438
09/06/2014 12:00;09/06/2014 13:00;3;09/06/2014 14:00;09/06/2014 15:00;9886.747
09/06/2014 13:00;09/06/2014 14:00;4;09/06/2014 15:00;09/06/2014 16:00;10693.331
09/06/2014 14:00;09/06/2014 15:00;5;09/06/2014 16:00;09/06/2014 17:00;13203.861
09/06/2014 15:00;09/06/2014 16:00;6;09/06/2014 17:00;09/06/2014 18:00;17497.562
09/06/2014 16:00;09/06/2014 17:00;7;09/06/2014 18:00;09/06/2014 19:00;24649.514
09/06/2014 17:00;09/06/2014 18:00;8;09/06/2014 19:00;09/06/2014 20:00;31766.541
09/06/2014 18:00;09/06/2014 19:00;9;09/06/2014 20:00;09/06/2014 21:00;42822.965
09/06/2014 19:00;09/06/2014 20:00;10;09/06/2014 21:00;09/06/2014 22:00;55145.849
09/06/2014 20:00;09/06/2014 21:00;11;09/06/2014 22:00;09/06/2014 23:00;54897.173
09/06/2014 21:00;09/06/2014 22:00;12;09/06/2014 23:00;10/06/2014 00:00;60940.056
09/06/2014 22:00;09/06/2014 23:00;13;10/06/2014 00:00;10/06/2014 01:00;70210.593
09/06/2014 23:00;10/06/2014 00:00;14;10/06/2014 01:00;10/06/2014 02:00;84626.926
10/06/2014 00:00;10/06/2014 01:00;15;10/06/2014 02:00;10/06/2014 03:00;97000.071
10/06/2014 01:00;10/06/2014 02:00;16;10/06/2014 03:00;10/06/2014 04:00;109062.552
10/06/2014 02:00;10/06/2014 03:00;17;10/06/2014 04:00;10/06/2014 05:00;112807.193
10/06/2014 03:00;10/06/2014 04:00;18;10/06/2014 05:00;10/06/2014 06:00;122053.474
10/06/2014 04:00;10/06/2014 05:00;19;10/06/2014 06:00;10/06/2014 07:00;121379.218
10/06/2014 05:00;10/06/2014 06:00;20;10/06/2014 07:00;10/06/2014 08:00;125479.340
10/06/2014 06:00;10/06/2014 07:00;21;10/06/2014 08:00;10/06/2014 09:00;130629.828
10/06/2014 07:00;10/06/2014 08:00;22;10/06/2014 09:00;10/06/2014 10:00;159615.424
10/06/2014 08:00;10/06/2014 09:00;23;10/06/2014 10:00;10/06/2014 11:00;173958.955
10/06/2014 09:00;10/06/2014 10:00;24;10/06/2014 11:00;10/06/2014 12:00;177375.892
10/06/2014 10:00;10/06/2014 11:00;25;10/06/2014 12:00;10/06/2014 13:00;161780.187
10/06/2014 11:00;10/06/2014 12:00;26;10/06/2014 13:00;10/06/2014 14:00;109280.882
