FromUtc;ToUtc;HourAhead;FromLocal;ToLocal;Power (kW)
26/06/2014 09:00;26/06/2014 10:00;0;26/06/2014 11:00;26/06/2014 12:00;7139.853
26/06/2014 10:00;26/06/2014 11:00;1;26/06/2014 12:00;26/06/2014 13:00;7139.853
26/06/2014 11:00;26/06/2014 12:00;2;26/06/2014 13:00;26/06/2014 14:00;6773.791
26/06/2014 12:00;26/06/2014 13:00;3;26/06/2014 14:00;26/06/2014 15:00;6404.097
26/06/2014 13:00;26/06/2014 14:00;4;26/06/2014 15:00;26/06/2014 16:00;6760.927
26/06/2014 14:00;26/06/2014 15:00;5;26/06/2014 16:00;26/06/2014 17:00;6517.346
26/06/2014 15:00;26/06/2014 16:00;6;26/06/2014 17:00;26/06/2014 18:00;6192.416
26/06/2014 16:00;26/06/2014 17:00;7;26/06/2014 18:00;26/06/2014 19:00;5850.211
26/06/2014 17:00;26/06/2014 18:00;8;26/06/2014 19:00;26/06/2014 20:00;5888.538
26/06/2014 18:00;26/06/2014 19:00;9;26/06/2014 20:00;26/06/2014 21:00;6432.447
26/06/2014 19:00;26/06/2014 20:00;10;26/06/2014 21:00;26/06/2014 22:00;6914.634
26/06/2014 20:00;26/06/2014 21:00;11;26/06/2014 22:00;26/06/2014 23:00;7757.886
26/06/2014 21:00;26/06/2014 22:00;12;26/06/2014 23:00;27/06/2014 00:00;8747.339
26/06/2014 22:00;26/06/2014 23:00;13;27/06/2014 00:00;27/06/2014 01:00;10241.491
26/06/2014 23:00;27/06/2014 00:00;14;27/06/2014 01:00;27/06/2014 02:00;10522.034
27/06/2014 00:00;27/06/2014 01:00;15;27/06/2014 02:00;27/06/2014 03:00;10594.298
27/06/2014 01:00;27/06/2014 02:00;16;27/06/2014 03:00;27/06/2014 04:00;10343.356
27/06/2014 02:00;27/06/2014 03:00;17;27/06/2014 04:00;27/06/2014 05:00;10572.197
27/06/2014 03:00;27/06/2014 04:00;18;27/06/2014 05:00;27/06/2014 06:00;11635.997
27/06/2014 04:00;27/06/2014 05:00;19;27/06/2014 06:00;27/06/2014 07:00;12464.537
27/06/2014 05:00;27/06/2014 06:00;20;27/06/2014 07:00;27/06/2014 08:00;11644.162
27/06/2014 06:00;27/06/2014 07:00;21;27/06/2014 08:00;27/06/2014 09:00;11636.438
27/06/2014 07:00;27/06/2014 08:00;22;27/06/2014 09:00;27/06/2014 10:00;12110.338
27/06/2014 08:00;27/06/2014 09:00;23;27/06/2014 10:00;27/06/2014 11:00;13961.542
27/06/2014 09:00;27/06/2014 10:00;24;27/06/2014 11:00;27/06/2014 12:00;15432.412
27/06/2014 10:00;27/06/2014 11:00;25;27/06/2014 12:00;27/06/2014 13:00;16455.378
27/06/2014 11:00;27/06/2014 12:00;26;27/06/2014 13:00;27/06/2014 14:00;14387.903
27/06/2014 12:00;27/06/2014 13:00;27;27/06/2014 14:00;27/06/2014 15:00;12304.765
27/06/2014 13:00;27/06/2014 14:00;28;27/06/2014 15:00;27/06/2014 16:00;10861.095
27/06/2014 14:00;27/06/2014 15:00;29;27/06/2014 16:00;27/06/2014 17:00;10476.201
27/06/2014 15:00;27/06/2014 16:00;30;27/06/2014 17:00;27/06/2014 18:00;11297.395
27/06/2014 16:00;27/06/2014 17:00;31;27/06/2014 18:00;27/06/2014 19:00;12539.530
27/06/2014 17:00;27/06/2014 18:00;32;27/06/2014 19:00;27/06/2014 20:00;18015.209
27/06/2014 18:00;27/06/2014 19:00;33;27/06/2014 20:00;27/06/2014 21:00;24364.950
27/06/2014 19:00;27/06/2014 20:00;34;27/06/2014 21:00;27/06/2014 22:00;31271.218
27/06/2014 20:00;27/06/2014 21:00;35;27/06/2014 22:00;27/06/2014 23:00;38654.138
27/06/2014 21:00;27/06/2014 22:00;36;27/06/2014 23:00;28/06/2014 00:00;40774.326
27/06/2014 22:00;27/06/2014 23:00;37;28/06/2014 00:00;28/06/2014 01:00;43835.385
27/06/2014 23:00;28/06/2014 00:00;38;28/06/2014 01:00;28/06/2014 02:00;39818.342
28/06/2014 00:00;28/06/2014 01:00;39;28/06/2014 02:00;28/06/2014 03:00;39027.983
28/06/2014 01:00;28/06/2014 02:00;40;28/06/2014 03:00;28/06/2014 04:00;38311.502
28/06/2014 02:00;28/06/2014 03:00;41;28/06/2014 04:00;28/06/2014 05:00;45192.493
28/06/2014 03:00;28/06/2014 04:00;42;28/06/2014 05:00;28/06/2014 06:00;54977.325
28/06/2014 04:00;28/06/2014 05:00;43;28/06/2014 06:00;28/06/2014 07:00;67362.576
28/06/2014 05:00;28/06/2014 06:00;44;28/06/2014 07:00;28/06/2014 08:00;73611.294
28/06/2014 06:00;28/06/2014 07:00;45;28/06/2014 08:00;28/06/2014 09:00;66291.183
28/06/2014 07:00;28/06/2014 08:00;46;28/06/2014 09:00;28/06/2014 10:00;50181.988
28/06/2014 08:00;28/06/2014 09:00;47;28/06/2014 10:00;28/06/2014 11:00;32597.451
28/06/2014 09:00;28/06/2014 10:00;48;28/06/2014 11:00;28/06/2014 12:00;19955.476
28/06/2014 10:00;28/06/2014 11:00;49;28/06/2014 12:00;28/06/2014 13:00;13529.044
28/06/2014 11:00;28/06/2014 12:00;50;28/06/2014 13:00;28/06/2014 14:00;10203.698
28/06/2014 12:00;28/06/2014 13:00;51;28/06/2014 14:00;28/06/2014 15:00;8591.911
28/06/2014 13:00;28/06/2014 14:00;52;28/06/2014 15:00;28/06/2014 16:00;7245.388
28/06/2014 14:00;28/06/2014 15:00;53;28/06/2014 16:00;28/06/2014 17:00;5247.665
28/06/2014 15:00;28/06/2014 16:00;54;28/06/2014 17:00;28/06/2014 18:00;4541.993
28/06/2014 16:00;28/06/2014 17:00;55;28/06/2014 18:00;28/06/2014 19:00;4605.242
