FromUtc;ToUtc;HourAhead;FromLocal;ToLocal;Power (kW)
04/06/2014 09:00;04/06/2014 10:00;0;04/06/2014 11:00;04/06/2014 12:00;10390.228
04/06/2014 10:00;04/06/2014 11:00;1;04/06/2014 12:00;04/06/2014 13:00;10390.228
04/06/2014 11:00;04/06/2014 12:00;2;04/06/2014 13:00;04/06/2014 14:00;13240.773
04/06/2014 12:00;04/06/2014 13:00;3;04/06/2014 14:00;04/06/2014 15:00;17957.330
04/06/2014 13:00;04/06/2014 14:00;4;04/06/2014 15:00;04/06/2014 16:00;24341.893
04/06/2014 14:00;04/06/2014 15:00;5;04/06/2014 16:00;04/06/2014 17:00;31783.709
04/06/2014 15:00;04/06/2014 16:00;6;04/06/2014 17:00;04/06/2014 18:00;43747.665
04/06/2014 16:00;04/06/2014 17:00;7;04/06/2014 18:00;04/06/2014 19:00;57087.982
04/06/2014 17:00;04/06/2014 18:00;8;04/06/2014 19:00;04/06/2014 20:00;57167.999
04/06/2014 18:00;04/06/2014 19:00;9;04/06/2014 20:00;04/06/2014 21:00;57470.776
04/06/2014 19:00;04/06/2014 20:00;10;04/06/2014 21:00;04/06/2014 22:00;54193.355
04/06/2014 20:00;04/06/2014 21:00;11;04/06/2014 22:00;04/06/2014 23:00;67947.602
04/06/2014 21:00;04/06/2014 22:00;12;04/06/2014 23:00;05/06/2014 00:00;82421.434
04/06/2014 22:00;04/06/2014 23:00;13;05/06/2014 00:00;05/06/2014 01:00;99990.858
04/06/2014 23:00;05/06/2014 00:00;14;05/06/2014 01:00;05/06/2014 02:00;97281.578
05/06/2014 00:00;05/06/2014 01:00;15;05/06/2014 02:00;05/06/2014 03:00;91893.809
05/06/2014 01:00;05/06/2014 02:00;16;05/06/2014 03:00;05/06/2014 04:00;80629.251
05/06/2014 02:00;05/06/2014 03:00;17;05/06/2014 04:00;05/06/2014 05:00;74197.428
05/06/2014 03:00;05/06/2014 04:00;18;05/06/2014 05:00;05/06/2014 06:00;69486.336
05/06/2014 04:00;05/06/2014 05:00;19;05/06/2014 06:00;05/06/2014 07:00;67237.426
05/06/2014 05:00;05/06/2014 06:00;20;05/06/2014 07:00;05/06/2014 08:00;67068.950
05/06/2014 06:00;05/06/2014 07:00;21;05/06/2014 08:00;05/06/2014 09:00;64016.080
05/06/2014 07:00;05/06/2014 08:00;22;05/06/2014 09:00;05/06/2014 10:00;59410.455
05/06/2014 08:00;05/06/2014 09:00;23;05/06/2014 10:00;05/06/2014 11:00;58381.599
05/06/2014 09:00;05/06/2014 10:00;24;05/06/2014 11:00;05/06/2014 12:00;60836.083
05/06/2014 10:00;05/06/2014 11:00;25;05/06/2014 12:00;05/06/2014 13:00;61360.200
05/06/2014 11:00;05/06/2014 12:00;26;05/06/2014 13:00;05/06/2014 14:00;118183.706
05/06/2014 12:00;05/06/2014 13:00;27;05/06/2014 14:00;05/06/2014 15:00;128738.666
05/06/2014 13:00;05/06/2014 14:00;28;05/06/2014 15:00;05/06/2014 16:00;126918.455
05/06/2014 14:00;05/06/2014 15:00;29;05/06/2014 16:00;05/06/2014 17:00;72098.739
05/06/2014 15:00;05/06/2014 16:00;30;05/06/2014 17:00;05/06/2014 18:00;43725.576
05/06/2014 16:00;05/06/2014 17:00;31;05/06/2014 18:00;05/06/2014 19:00;22617.923
05/06/2014 17:00;05/06/2014 18:00;32;05/06/2014 19:00;05/06/2014 20:00;34296.950
05/06/2014 18:00;05/06/2014 19:00;33;05/06/2014 20:00;05/06/2014 21:00;57145.453
05/06/2014 19:00;05/06/2014 20:00;34;05/06/2014 21:00;05/06/2014 22:00;79456.701
05/06/2014 20:00;05/06/2014 21:00;35;05/06/2014 22:00;05/06/2014 23:00;95112.132
05/06/2014 21:00;05/06/2014 22:00;36;05/06/2014 23:00;06/06/2014 00:00;125581.270
05/06/2014 22:00;05/06/2014 23:00;37;06/06/2014 00:00;06/06/2014 01:00;143365.906
05/06/2014 23:00;06/06/2014 00:00;38;06/06/2014 01:00;06/06/2014 02:00;167559.842
06/06/2014 00:00;06/06/2014 01:00;39;06/06/2014 02:00;06/06/2014 03:00;180062.836
06/06/2014 01:00;06/06/2014 02:00;40;06/06/2014 03:00;06/06/2014 04:00;199603.806
06/06/2014 02:00;06/06/2014 03:00;41;06/06/2014 04:00;06/06/2014 05:00;205593.512
06/06/2014 03:00;06/06/2014 04:00;42;06/06/2014 05:00;06/06/2014 06:00;206609.012
06/06/2014 04:00;06/06/2014 05:00;43;06/06/2014 06:00;06/06/2014 07:00;206970.582
06/06/2014 05:00;06/06/2014 06:00;44;06/06/2014 07:00;06/06/2014 08:00;207124.768
06/06/2014 06:00;06/06/2014 07:00;45;06/06/2014 08:00;06/06/2014 09:00;207149.520
06/06/2014 07:00;06/06/2014 08:00;46;06/06/2014 09:00;06/06/2014 10:00;207144.989
06/06/2014 08:00;06/06/2014 09:00;47;06/06/2014 10:00;06/06/2014 11:00;207090.546
06/06/2014 09:00;06/06/2014 10:00;48;06/06/2014 11:00;06/06/2014 12:00;206817.082
06/06/2014 10:00;06/06/2014 11:00;49;06/06/2014 12:00;06/06/2014 13:00;205965.880
06/06/2014 11:00;06/06/2014 12:00;50;06/06/2014 13:00;06/06/2014 14:00;197730.584
06/06/2014 12:00;06/06/2014 13:00;51;06/06/2014 14:00;06/06/2014 15:00;181860.309
06/06/2014 13:00;06/06/2014 14:00;52;06/06/2014 15:00;06/06/2014 16:00;170981.678
06/06/2014 14:00;06/06/2014 15:00;53;06/06/2014 16:00;06/06/2014 17:00;154055.585
06/06/2014 15:00;06/06/2014 16:00;54;06/06/2014 17:00;06/06/2014 18:00;134062.027
06/06/2014 16:00;06/06/2014 17:00;55;06/06/2014 18:00;06/06/2014 19:00;113079.348
06/06/2014 17:00;06/06/2014 18:00;56;06/06/2014 19:00;06/06/2014 20:00;92722.808
06/06/2014 18:00;06/06/2014 19:00;57;06/06/2014 20:00;06/06/2014 21:00;75442.216
06/06/2014 19:00;06/06/2014 20:00;58;06/06/2014 21:00;06/06/2014 22:00;62374.341
06/06/2014 20:00;06/06/2014 21:00;59;06/06/2014 22:00;06/06/2014 23:00;52435.303
06/06/2014 21:00;06/06/2014 22:00;60;06/06/2014 23:00;07/06/2014 00:00;45119.522
06/06/2014 22:00;06/06/2014 23:00;61;07/06/2014 00:00;07/06/2014 01:00;38848.663
06/06/2014 23:00;07/06/2014 00:00;62;07/06/2014 01:00;07/06/2014 02:00;33839.043
07/06/2014 00:00;07/06/2014 01:00;63;07/06/2014 02:00;07/06/2014 03:00;26040.254
07/06/2014 01:00;07/06/2014 02:00;64;07/06/2014 03:00;07/06/2014 04:00;20789.196
07/06/2014 02:00;07/06/2014 03:00;65;07/06/2014 04:00;07/06/2014 05:00;16124.587
07/06/2014 03:00;07/06/2014 04:00;66;07/06/2014 05:00;07/06/2014 06:00;12476.352
07/06/2014 04:00;07/06/2014 05:00;67;07/06/2014 06:00;07/06/2014 07:00;9923.134
07/06/2014 05:00;07/06/2014 06:00;68;07/06/2014 07:00;07/06/2014 08:00;8284.788
07/06/2014 06:00;07/06/2014 07:00;69;07/06/2014 08:00;07/06/2014 09:00;7433.538
07/06/2014 07:00;07/06/2014 08:00;70;07/06/2014 09:00;07/06/2014 10:00;6917.842
07/06/2014 08:00;07/06/2014 09:00;71;07/06/2014 10:00;07/06/2014 11:00;7226.099
07/06/2014 09:00;07/06/2014 10:00;72;07/06/2014 11:00;07/06/2014 12:00;8201.103
