FromUtc;ToUtc;HourAhead;FromLocal;ToLocal;Power (kW)
17/06/2014 09:00;17/06/2014 10:00;0;17/06/2014 11:00;17/06/2014 12:00;8168.649
17/06/2014 10:00;17/06/2014 11:00;1;17/06/2014 12:00;17/06/2014 13:00;8168.649
17/06/2014 11:00;17/06/2014 12:00;2;17/06/2014 13:00;17/06/2014 14:00;6607.805
17/06/2014 12:00;17/06/2014 13:00;3;17/06/2014 14:00;17/06/2014 15:00;5420.157
17/06/2014 13:00;17/06/2014 14:00;4;17/06/2014 15:00;17/06/2014 16:00;4306.626
17/06/2014 14:00;17/06/2014 15:00;5;17/06/2014 16:00;17/06/2014 17:00;9019.082
17/06/2014 15:00;17/06/2014 16:00;6;17/06/2014 17:00;17/06/2014 18:00;9650.811
17/06/2014 16:00;17/06/2014 17:00;7;17/06/2014 18:00;17/06/2014 19:00;10760.816
17/06/2014 17:00;17/06/2014 18:00;8;17/06/2014 19:00;17/06/2014 20:00;12742.830
17/06/2014 18:00;17/06/2014 19:00;9;17/06/2014 20:00;17/06/2014 21:00;14510.316
17/06/2014 19:00;17/06/2014 20:00;10;17/06/2014 21:00;17/06/2014 22:00;14363.298
17/06/2014 20:00;17/06/2014 21:00;11;17/06/2014 22:00;17/06/2014 23:00;13313.964
17/06/2014 21:00;17/06/2014 22:00;12;17/06/2014 23:00;18/06/2014 00:00;9185.188
17/06/2014 22:00;17/06/2014 23:00;13;18/06/2014 00:00;18/06/2014 01:00;9328.425
17/06/2014 23:00;18/06/2014 00:00;14;18/06/2014 01:00;18/06/2014 02:00;11700.371
18/06/2014 00:00;18/06/2014 01:00;15;18/06/2014 02:00;18/06/2014 03:00;18674.475
18/06/2014 01:00;18/06/2014 02:00;16;18/06/2014 03:00;18/06/2014 04:00;20461.432
18/06/2014 02:00;18/06/2014 03:00;17;18/06/2014 04:00;18/06/2014 05:00;19621.394
18/06/2014 03:00;18/06/2014 04:00;18;18/06/2014 05:00;18/06/2014 06:00;20827.959
18/06/2014 04:00;18/06/2014 05:00;19;18/06/2014 06:00;18/06/2014 07:00;23680.002
18/06/2014 05:00;18/06/2014 06:00;20;18/06/2014 07:00;18/06/2014 08:00;24595.979
18/06/2014 06:00;18/06/2014 07:00;21;18/06/2014 08:00;18/06/2014 09:00;25236.048
18/06/2014 07:00;18/06/2014 08:00;22;18/06/2014 09:00;18/06/2014 10:00;25652.565
18/06/2014 08:00;18/06/2014 09:00;23;18/06/2014 10:00;18/06/2014 11:00;29636.850
18/06/2014 09:00;18/06/2014 10:00;24;18/06/2014 11:00;18/06/2014 12:00;33697.686
18/06/2014 10:00;18/06/2014 11:00;25;18/06/2014 12:00;18/06/2014 13:00;35538.963
18/06/2014 11:00;18/06/2014 12:00;26;18/06/2014 13:00;18/06/2014 14:00;29101.571
18/06/2014 12:00;18/06/2014 13:00;27;18/06/2014 14:00;18/06/2014 15:00;25858.604
18/06/2014 13:00;18/06/2014 14:00;28;18/06/2014 15:00;18/06/2014 16:00;22935.432
18/06/2014 14:00;18/06/2014 15:00;29;18/06/2014 16:00;18/06/2014 17:00;19927.656
18/06/2014 15:00;18/06/2014 16:00;30;18/06/2014 17:00;18/06/2014 18:00;16916.501
18/06/2014 16:00;18/06/2014 17:00;31;18/06/2014 18:00;18/06/2014 19:00;16776.701
18/06/2014 17:00;18/06/2014 18:00;32;18/06/2014 19:00;18/06/2014 20:00;25562.934
18/06/2014 18:00;18/06/2014 19:00;33;18/06/2014 20:00;18/06/2014 21:00;38497.903
18/06/2014 19:00;18/06/2014 20:00;34;18/06/2014 21:00;18/06/2014 22:00;54941.874
18/06/2014 20:00;18/06/2014 21:00;35;18/06/2014 22:00;18/06/2014 23:00;84327.218
18/06/2014 21:00;18/06/2014 22:00;36;18/06/2014 23:00;19/06/2014 00:00;122512.711
18/06/2014 22:00;18/06/2014 23:00;37;19/06/2014 00:00;19/06/2014 01:00;162518.896
18/06/2014 23:00;19/06/2014 00:00;38;19/06/2014 01:00;19/06/2014 02:00;148642.607
19/06/2014 00:00;19/06/2014 01:00;39;19/06/2014 02:00;19/06/2014 03:00;132366.547
