FromUtc;ToUtc;HourAhead;FromLocal;ToLocal;Power (kW)
28/06/2014 09:00;28/06/2014 10:00;0;28/06/2014 11:00;28/06/2014 12:00;20874.789
28/06/2014 10:00;28/06/2014 11:00;1;28/06/2014 12:00;28/06/2014 13:00;20874.789
28/06/2014 11:00;28/06/2014 12:00;2;28/06/2014 13:00;28/06/2014 14:00;13644.961
28/06/2014 12:00;28/06/2014 13:00;3;28/06/2014 14:00;28/06/2014 15:00;12580.840
28/06/2014 13:00;28/06/2014 14:00;4;28/06/2014 15:00;28/06/2014 16:00;8250.929
28/06/2014 14:00;28/06/2014 15:00;5;28/06/2014 16:00;28/06/2014 17:00;10027.144
28/06/2014 15:00;28/06/2014 16:00;6;28/06/2014 17:00;28/06/2014 18:00;13789.077
28/06/2014 16:00;28/06/2014 17:00;7;28/06/2014 18:00;28/06/2014 19:00;15663.905
28/06/2014 17:00;28/06/2014 18:00;8;28/06/2014 19:00;28/06/2014 20:00;11390.090
28/06/2014 18:00;28/06/2014 19:00;9;28/06/2014 20:00;28/06/2014 21:00;9055.341
28/06/2014 19:00;28/06/2014 20:00;10;28/06/2014 21:00;28/06/2014 22:00;12130.665
28/06/2014 20:00;28/06/2014 21:00;11;28/06/2014 22:00;28/06/2014 23:00;12800.148
28/06/2014 21:00;28/06/2014 22:00;12;28/06/2014 23:00;29/06/2014 00:00;12160.146
28/06/2014 22:00;28/06/2014 23:00;13;29/06/2014 00:00;29/06/2014 01:00;10636.364
28/06/2014 23:00;29/06/2014 00:00;14;29/06/2014 01:00;29/06/2014 02:00;8686.042
29/06/2014 00:00;29/06/2014 01:00;15;29/06/2014 02:00;29/06/2014 03:00;8436.930
29/06/2014 01:00;29/06/2014 02:00;16;29/06/2014 03:00;29/06/2014 04:00;8312.994
29/06/2014 02:00;29/06/2014 03:00;17;29/06/2014 04:00;29/06/2014 05:00;9206.532
29/06/2014 03:00;29/06/2014 04:00;18;29/06/2014 05:00;29/06/2014 06:00;8492.277
29/06/2014 04:00;29/06/2014 05:00;19;29/06/2014 06:00;29/06/2014 07:00;8329.836
29/06/2014 05:00;29/06/2014 06:00;20;29/06/2014 07:00;29/06/2014 08:00;7304.934
29/06/2014 06:00;29/06/2014 07:00;21;29/06/2014 08:00;29/06/2014 09:00;7168.001
29/06/2014 07:00;29/06/2014 08:00;22;29/06/2014 09:00;29/06/2014 10:00;7323.376
29/06/2014 08:00;29/06/2014 09:00;23;29/06/2014 10:00;29/06/2014 11:00;8620.589
29/06/2014 09:00;29/06/2014 10:00;24;29/06/2014 11:00;29/06/2014 12:00;10008.064
29/06/2014 10:00;29/06/2014 11:00;25;29/06/2014 12:00;29/06/2014 13:00;11515.702
29/06/2014 11:00;29/06/2014 12:00;26;29/06/2014 13:00;29/06/2014 14:00;13015.770
29/06/2014 12:00;29/06/2014 13:00;27;29/06/2014 14:00;29/06/2014 15:00;13562.991
29/06/2014 13:00;29/06/2014 14:00;28;29/06/2014 15:00;29/06/2014 16:00;16326.102
29/06/2014 14:00;29/06/2014 15:00;29;29/06/2014 16:00;29/06/2014 17:00;19366.551
29/06/2014 15:00;29/06/2014 16:00;30;29/06/2014 17:00;29/06/2014 18:00;24312.571
29/06/2014 16:00;29/06/2014 17:00;31;29/06/2014 18:00;29/06/2014 19:00;31946.213
29/06/2014 17:00;29/06/2014 18:00;32;29/06/2014 19:00;29/06/2014 20:00;36394.932
29/06/2014 18:00;29/06/2014 19:00;33;29/06/2014 20:00;29/06/2014 21:00;32323.608
29/06/2014 19:00;29/06/2014 20:00;34;29/06/2014 21:00;29/06/2014 22:00;28687.204
29/06/2014 20:00;29/06/2014 21:00;35;29/06/2014 22:00;29/06/2014 23:00;32817.305
29/06/2014 21:00;29/06/2014 22:00;36;29/06/2014 23:00;30/06/2014 00:00;37053.344
29/06/2014 22:00;29/06/2014 23:00;37;30/06/2014 00:00;30/06/2014 01:00;35784.906
29/06/2014 23:00;30/06/2014 00:00;38;30/06/2014 01:00;30/06/2014 02:00;29443.532
30/06/2014 00:00;30/06/2014 01:00;39;30/06/2014 02:00;30/06/2014 03:00;20240.282
30/06/2014 01:00;30/06/2014 02:00;40;30/06/2014 03:00;30/06/2014 04:00;15608.906
30/06/2014 02:00;30/06/2014 03:00;41;30/06/2014 04:00;30/06/2014 05:00;16420.011
30/06/2014 03:00;30/06/2014 04:00;42;30/06/2014 05:00;30/06/2014 06:00;17125.975
30/06/2014 04:00;30/06/2014 05:00;43;30/06/2014 06:00;30/06/2014 07:00;16132.492
30/06/2014 05:00;30/06/2014 06:00;44;30/06/2014 07:00;30/06/2014 08:00;14364.231
30/06/2014 06:00;30/06/2014 07:00;45;30/06/2014 08:00;30/06/2014 09:00;13206.982
30/06/2014 07:00;30/06/2014 08:00;46;30/06/2014 09:00;30/06/2014 10:00;14190.843
30/06/2014 08:00;30/06/2014 09:00;47;30/06/2014 10:00;30/06/2014 11:00;19797.627
30/06/2014 09:00;30/06/2014 10:00;48;30/06/2014 11:00;30/06/2014 12:00;31990.749
30/06/2014 10:00;30/06/2014 11:00;49;30/06/2014 12:00;30/06/2014 13:00;46611.855
30/06/2014 11:00;30/06/2014 12:00;50;30/06/2014 13:00;30/06/2014 14:00;51433.572
30/06/2014 12:00;30/06/2014 13:00;51;30/06/2014 14:00;30/06/2014 15:00;48130.022
30/06/2014 13:00;30/06/2014 14:00;52;30/06/2014 15:00;30/06/2014 16:00;47336.324
30/06/2014 14:00;30/06/2014 15:00;53;30/06/2014 16:00;30/06/2014 17:00;54269.783
30/06/2014 15:00;30/06/2014 16:00;54;30/06/2014 17:00;30/06/2014 18:00;68447.705
30/06/2014 16:00;30/06/2014 17:00;55;30/06/2014 18:00;30/06/2014 19:00;85574.605
30/06/2014 17:00;30/06/2014 18:00;56;30/06/2014 19:00;30/06/2014 20:00;97537.454
30/06/2014 18:00;30/06/2014 19:00;57;30/06/2014 20:00;30/06/2014 21:00;103232.885
30/06/2014 19:00;30/06/2014 20:00;58;30/06/2014 21:00;30/06/2014 22:00;105428.080
30/06/2014 20:00;30/06/2014 21:00;59;30/06/2014 22:00;30/06/2014 23:00;106809.536
30/06/2014 21:00;30/06/2014 22:00;60;30/06/2014 23:00;01/07/2014 00:00;107745.160
30/06/2014 22:00;30/06/2014 23:00;61;01/07/2014 00:00;01/07/2014 01:00;112370.462
30/06/2014 23:00;01/07/2014 00:00;62;01/07/2014 01:00;01/07/2014 02:00;121289.812
01/07/2014 00:00;01/07/2014 01:00;63;01/07/2014 02:00;01/07/2014 03:00;123453.574
01/07/2014 01:00;01/07/2014 02:00;64;01/07/2014 03:00;01/07/2014 04:00;134933.108
01/07/2014 02:00;01/07/2014 03:00;65;01/07/2014 04:00;01/07/2014 05:00;142093.726
