FromUtc;ToUtc;HourAhead;FromLocal;ToLocal;Power (kW)
20/06/2014 09:00;20/06/2014 10:00;0;20/06/2014 11:00;20/06/2014 12:00;127813.826
20/06/2014 10:00;20/06/2014 11:00;1;20/06/2014 12:00;20/06/2014 13:00;127813.826
20/06/2014 11:00;20/06/2014 12:00;2;20/06/2014 13:00;20/06/2014 14:00;124098.323
20/06/2014 12:00;20/06/2014 13:00;3;20/06/2014 14:00;20/06/2014 15:00;119698.800
20/06/2014 13:00;20/06/2014 14:00;4;20/06/2014 15:00;20/06/2014 16:00;127903.937
20/06/2014 14:00;20/06/2014 15:00;5;20/06/2014 16:00;20/06/2014 17:00;161540.403
20/06/2014 15:00;20/06/2014 16:00;6;20/06/2014 17:00;20/06/2014 18:00;189081.560
20/06/2014 16:00;20/06/2014 17:00;7;20/06/2014 18:00;20/06/2014 19:00;200064.619
20/06/2014 17:00;20/06/2014 18:00;8;20/06/2014 19:00;20/06/2014 20:00;201498.856
20/06/2014 18:00;20/06/2014 19:00;9;20/06/2014 20:00;20/06/2014 21:00;200079.623
20/06/2014 19:00;20/06/2014 20:00;10;20/06/2014 21:00;20/06/2014 22:00;195286.664
20/06/2014 20:00;20/06/2014 21:00;11;20/06/2014 22:00;20/06/2014 23:00;191864.603
20/06/2014 21:00;20/06/2014 22:00;12;20/06/2014 23:00;21/06/2014 00:00;191063.333
20/06/2014 22:00;20/06/2014 23:00;13;21/06/2014 00:00;21/06/2014 01:00;191082.978
20/06/2014 23:00;21/06/2014 00:00;14;21/06/2014 01:00;21/06/2014 02:00;186848.013
21/06/2014 00:00;21/06/2014 01:00;15;21/06/2014 02:00;21/06/2014 03:00;169865.849
21/06/2014 01:00;21/06/2014 02:00;16;21/06/2014 03:00;21/06/2014 04:00;157623.692
21/06/2014 02:00;21/06/2014 03:00;17;21/06/2014 04:00;21/06/2014 05:00;169600.140
21/06/2014 03:00;21/06/2014 04:00;18;21/06/2014 05:00;21/06/2014 06:00;182531.946
21/06/2014 04:00;21/06/2014 05:00;19;21/06/2014 06:00;21/06/2014 07:00;188320.013
21/06/2014 05:00;21/06/2014 06:00;20;21/06/2014 07:00;21/06/2014 08:00;192511.920
21/06/2014 06:00;21/06/2014 07:00;21;21/06/2014 08:00;21/06/2014 09:00;196750.746
21/06/2014 07:00;21/06/2014 08:00;22;21/06/2014 09:00;21/06/2014 10:00;199925.255
21/06/2014 08:00;21/06/2014 09:00;23;21/06/2014 10:00;21/06/2014 11:00;203141.320
21/06/2014 09:00;21/06/2014 10:00;24;21/06/2014 11:00;21/06/2014 12:00;206603.441
21/06/2014 10:00;21/06/2014 11:00;25;21/06/2014 12:00;21/06/2014 13:00;207823.104
21/06/2014 11:00;21/06/2014 12:00;26;21/06/2014 13:00;21/06/2014 14:00;208020.665
21/06/2014 12:00;21/06/2014 13:00;27;21/06/2014 14:00;21/06/2014 15:00;208315.734
21/06/2014 13:00;21/06/2014 14:00;28;21/06/2014 15:00;21/06/2014 16:00;208714.737
21/06/2014 14:00;21/06/2014 15:00;29;21/06/2014 16:00;21/06/2014 17:00;208910.666
21/06/2014 15:00;21/06/2014 16:00;30;21/06/2014 17:00;21/06/2014 18:00;209097.052
21/06/2014 16:00;21/06/2014 17:00;31;21/06/2014 18:00;21/06/2014 19:00;208878.052
21/06/2014 17:00;21/06/2014 18:00;32;21/06/2014 19:00;21/06/2014 20:00;208832.045
21/06/2014 18:00;21/06/2014 19:00;33;21/06/2014 20:00;21/06/2014 21:00;208597.694
21/06/2014 19:00;21/06/2014 20:00;34;21/06/2014 21:00;21/06/2014 22:00;208777.938
21/06/2014 20:00;21/06/2014 21:00;35;21/06/2014 22:00;21/06/2014 23:00;208023.835
21/06/2014 21:00;21/06/2014 22:00;36;21/06/2014 23:00;22/06/2014 00:00;206418.591
21/06/2014 22:00;21/06/2014 23:00;37;22/06/2014 00:00;22/06/2014 01:00;203004.011
21/06/2014 23:00;22/06/2014 00:00;38;22/06/2014 01:00;22/06/2014 02:00;193878.053
22/06/2014 00:00;22/06/2014 01:00;39;22/06/2014 02:00;22/06/2014 03:00;176661.128
22/06/2014 01:00;22/06/2014 02:00;40;22/06/2014 03:00;22/06/2014 04:00;160303.950
22/06/2014 02:00;22/06/2014 03:00;41;22/06/2014 04:00;22/06/2014 05:00;172282.377
22/06/2014 03:00;22/06/2014 04:00;42;22/06/2014 05:00;22/06/2014 06:00;180744.357
22/06/2014 04:00;22/06/2014 05:00;43;22/06/2014 06:00;22/06/2014 07:00;182451.484
22/06/2014 05:00;22/06/2014 06:00;44;22/06/2014 07:00;22/06/2014 08:00;182491.840
22/06/2014 06:00;22/06/2014 07:00;45;22/06/2014 08:00;22/06/2014 09:00;177145.027
22/06/2014 07:00;22/06/2014 08:00;46;22/06/2014 09:00;22/06/2014 10:00;174896.389
22/06/2014 08:00;22/06/2014 09:00;47;22/06/2014 10:00;22/06/2014 11:00;176007.576
22/06/2014 09:00;22/06/2014 10:00;48;22/06/2014 11:00;22/06/2014 12:00;180617.585
22/06/2014 10:00;22/06/2014 11:00;49;22/06/2014 12:00;22/06/2014 13:00;188906.211
22/06/2014 11:00;22/06/2014 12:00;50;22/06/2014 13:00;22/06/2014 14:00;198963.255
22/06/2014 12:00;22/06/2014 13:00;51;22/06/2014 14:00;22/06/2014 15:00;203852.079
22/06/2014 13:00;22/06/2014 14:00;52;22/06/2014 15:00;22/06/2014 16:00;204893.635
22/06/2014 14:00;22/06/2014 15:00;53;22/06/2014 16:00;22/06/2014 17:00;203561.007
22/06/2014 15:00;22/06/2014 16:00;54;22/06/2014 17:00;22/06/2014 18:00;199163.392
22/06/2014 16:00;22/06/2014 17:00;55;22/06/2014 18:00;22/06/2014 19:00;194605.044
22/06/2014 17:00;22/06/2014 18:00;56;22/06/2014 19:00;22/06/2014 20:00;196584.600
22/06/2014 18:00;22/06/2014 19:00;57;22/06/2014 20:00;22/06/2014 21:00;200853.807
22/06/2014 19:00;22/06/2014 20:00;58;22/06/2014 21:00;22/06/2014 22:00;202922.075
22/06/2014 20:00;22/06/2014 21:00;59;22/06/2014 22:00;22/06/2014 23:00;201957.863
22/06/2014 21:00;22/06/2014 22:00;60;22/06/2014 23:00;23/06/2014 00:00;198098.478
22/06/2014 22:00;22/06/2014 23:00;61;23/06/2014 00:00;23/06/2014 01:00;189808.468
22/06/2014 23:00;23/06/2014 00:00;62;23/06/2014 01:00;23/06/2014 02:00;181575.693
23/06/2014 00:00;23/06/2014 01:00;63;23/06/2014 02:00;23/06/2014 03:00;167861.585
23/06/2014 01:00;23/06/2014 02:00;64;23/06/2014 03:00;23/06/2014 04:00;163260.005
23/06/2014 02:00;23/06/2014 03:00;65;23/06/2014 04:00;23/06/2014 05:00;162230.583
23/06/2014 03:00;23/06/2014 04:00;66;23/06/2014 05:00;23/06/2014 06:00;165060.924
23/06/2014 04:00;23/06/2014 05:00;67;23/06/2014 06:00;23/06/2014 07:00;168875.928
23/06/2014 05:00;23/06/2014 06:00;68;23/06/2014 07:00;23/06/2014 08:00;173155.722
23/06/2014 06:00;23/06/2014 07:00;69;23/06/2014 08:00;23/06/2014 09:00;175334.309
23/06/2014 07:00;23/06/2014 08:00;70;23/06/2014 09:00;23/06/2014 10:00;174620.021
23/06/2014 08:00;23/06/2014 09:00;71;23/06/2014 10:00;23/06/2014 11:00;170786.264
23/06/2014 09:00;23/06/2014 10:00;72;23/06/2014 11:00;23/06/2014 12:00;162919.936
